site_id,sheet,collected,현재count하한
cae-eco-fr-presse-cae-0,French Public Institutions,64,64
caissedesdepots-fr-communiques-de-press,French Public Institutions,1201,1000
caitec-org-cn-n6,중국 완료,62,62
cancer-gov-about-nci,American Research Institutes,24,24
carabinieri-it-in-vostro-aiuto,Italy Ministries,301,420
casseng-cssn-cn-sky_research,중국 완료,8,8
catalogue-data-govt-nz-dataset,뉴질랜드완료,85,86
cc-nih-gov-research,American Research Institutes,199,22
cdhowe-org-research-insights,Canadian Research Centers,344,344
cells-es-en,Spanish Research Centers,11,0
centralbank-ie-publication,Irish Research Centers,26,25
centralesupelec-fr-presse,French Public Institutions,51,51
cepii-fr-cepii,French Public Institutions,540,24
cer-rec-gc-ca-en,Canadian Research Centers,175,174
cerema-fr-fr,French Research Institutes,231,0
chungnam-go-kr-cnportal,한국완료,425,570
civilprotection-gov-gr-deltia-tupou,Greece Ministries,500,1157
cnic-es-en,Spanish Research Centers,419,570
cnipa-gov-cn-col,중국 완료,213,213
college-de-france-fr-en,French Public Universities,105,105
comptroller-defense-gov-odcfo,USA Executive Departments,24,24
comwel-or-kr-comwel,한국완료,471,1277
consult-environment-govt-nz-climate,뉴질랜드완료,72,0
consult-environment-govt-nz-resource-management,뉴질랜드완료,58,0
consult-environment-govt-nz-waste,뉴질랜드완료,58,0
cpb-nl-en,Dutch Research Centers,371,682
csic-es-es,Spanish Research Centers,25,26
cso-ie-en,Irish Research Centers,388,0
cstb-fr-communiques-de-press,French Research Institutes,48,48
daejeon-go-kr-drh,한국완료,473,669
dair-dias-ie-cgi,Irish Research Centers,500,756
dapa-go-kr-dapa,한국완료,970,0
data-biodiversity-be-dataset,벨기에완료,524,0
data-gov-be-nl,벨기에완료,132,0
data-mfe-govt-nz-documents,뉴질랜드완료,21,23
data-mfe-govt-nz-tables,뉴질랜드완료,435,434
data-nist-gov-sdp,American Research Institutes,50,50
data-statistik-gv-at-web,오스트리아완료,500,518
datenportal-bmbf-de-portal,독일완료,75,75
defence-govt-nz-publications,뉴질랜드완료,431,433
defensa-gob-es-gabinete,Spain Ministries,421,995
defense-gouv-fr-salle-de-presse,France Ministries,1980,2263
defense-gov-news,USA Executive Departments,546,500
dhs-gov-congressional-approp,USA Executive Departments,638,1081
dhs-gov-news-releases,USA Executive Departments,79,36
dhs-gov-publication,USA Executive Departments,29,29
dia-govt-nz-diawebsitensf,뉴질랜드완료,28,28
didaktorika-gr-eadd,Greece Research Centers,118,118
difesa-it-il-ministro,Italy Ministries,101,101
digital-gob-es-comunicacion,Spain Ministries,416,963
diplomatie-gouv-fr-en,France Ministries,551,694
directives-doe-gov-directives-browse,USA Executive Departments,205,205
directives-doe-gov-guidance,USA Executive Departments,260,51
doc-cerema-fr-default,French Research Institutes,697,0
doi-gov-bpp,USA Executive Departments,204,204
dol-gov-newsroom,USA Executive Departments,275,292
doras-dcu-ie-view,Irish Research Centers,2229,3683
dpmc-govt-nz-publications,뉴질랜드완료,571,1060
drugsandalcohol-ie-cgi,Irish Research Centers,500,649
dst-dk-da,덴마크완료,408,473
earlham-ac-uk-newsroom,영국완료,278,283
ecat-ga-gov-au-geonetwork,호주완료,796,797
ecologie-gouv-fr-presse,France Ministries,4049,2347
economie-fgov-be-nl,벨기에완료,138,120
economy-ni-gov-uk-news,영국완료,500,20
economy-ni-gov-uk-publications,영국완료,583,539
eda-admin-ch-eda,Switzerland Departments,12,48
edi-admin-ch-de,Switzerland Departments,360,20
educacionfpydeportes-gob-es-prensahtml,Spain Ministries,347,507
efd-admin-ch-en,Switzerland Departments,500,2528
ejournals-epublishing-ekt-gr-indexphp,Greece Research Centers,474,381
elocus-lib-uoc-gr-search,Greece Research Centers,282,389
em-dk-aktuelt,덴마크완료,350,350
em-lyon-com-en,French Public Universities,348,661
emep-int-mscw,Norway Research Centers,213,215
emsl-pnnl-gov-science,American Research Institutes,6,6
en-iwhr-cn-iwhr-english-new,중국 완료,458,0
en-ndrc-gov-cn-policies,중국 완료,52,0
en-nhc-gov-cn-publicationshtml,중국 완료,9,9
en-nim-ac-cn-taxonomy,중국 완료,303,303
energy-gov-management,USA Executive Departments,388,388
energy-gov-open-government,USA Executive Departments,10,10
eng-mod-gov-cn-2025xb,중국 완료,10,10
english-cnipa-gov-cn-col,중국 완료,353,353
english-mee-gov-cn-resources,중국 완료,20,0
english-www-gov-cn-archive,중국 완료,506,315
ens-lyon-fr-lecole,French Public Universities,154,151
environment-govt-nz-acts-and-regulations,뉴질랜드완료,315,394
environment-govt-nz-publications,뉴질랜드완료,249,563
environment-govt-nz-what-you-can-do,뉴질랜드완료,58,0
epa-ie-news-releases,Irish Research Centers,120,128
eprints-imtlucca-it-cgi,Italy Research centers,1461,0
eprints-soton-ac-uk-view,영국완료,259,0
esri-ie-publications,Irish Research Centers,531,636
etera-ee-browse,Estonia Research Centers,100403,1567
ethniccommunities-govt-nz-resources,뉴질랜드완료,85,0
ethz-ch-de,Switzerland Research Centers,203,204
etis-ee-portal,Estonia Research Centers,138,576
fafo-no-en,Norway Research Centers,322,474
fi-se-en,스웨덴 완료,122,93
fibl-org-en,Switzerland Research Centers,539,580
finance-ni-gov-uk-publications,영국완료,336,17
fm-dk-udgivelser,덴마크완료,100,100
fmi-ch-research,Switzerland Research Centers,818,0
fmn-dk-da,덴마크완료,848,851
forest-go-kr-kfsweb,한국완료,931,667
fss-or-kr-fss,한국완료,500,1310
ftc-go-kr-www,한국완료,694,1700
ga-gov-au-data-pubs,호주완료,2243,2241
gb-go-kr-sub,한국완료,406,407
gcsp-ch-publications,Switzerland Research Centers,176,178
genome-gov-about-nhgri,American Research Institutes,42,1
genomecanada-ca-about,Canadian Research Centers,50,0
gi-re-kr-home,한국완료,452,552
gichd-org-publications-resourc,Switzerland Research Centers,266,311
gnews-gg-go-kr-briefing,한국완료,500,1052
gnewsonline-it-category,Italy Ministries,343,520
gov-gr-search,Greece Ministries,489,0
gov-wales-publications,영국완료,155,395
graduateinstitute-ch-library,Switzerland Research Centers,398,213
gri-re-kr-web,한국완료,516,1729
gsi-ie-en-ie,Irish Research Centers,113,0
gwangju-go-kr-boardlistdo,한국완료,500,1104
gyeongnam-go-kr-board,한국완료,190,790
harcresearch-org-news,American Research Institutes,240,104
harcresearch-org-research,American Research Institutes,41,0
hatvp-fr-actualites-et-public,French Public Institutions,57,57
hcsp-fr-explorecgi,French Public Institutions,37,32
health-ni-gov-uk-news,영국완료,137,100
health-ni-gov-uk-publications,영국완료,503,20
hec-edu-en,French Public Universities,16,10
hhs-gov-guidance,USA Executive Departments,267,58
hi-no-en,Norway Research Centers,119,119
home-cern-news,Switzerland Research Centers,809,2200
home-treasury-gov-about,USA Executive Departments,12,12
hrbopenresearch-org,Irish Research Centers,437,739
hud-govt-nz-stats-and-insights,뉴질랜드완료,1334,2088
humanrights-go-kr-base,한국완료,450,519
icn-artem-com-en,French Public Universities,6,21
icp-fr-a-propos-de-licp,French Public Institutions,99,99
idiap-ch-en,Switzerland Research Centers,125,125
ifau-se-forskning,스웨덴 완료,101,106
ifau-se-press,스웨덴 완료,215,215
ifpenergiesnouvelles-fr-tags,French Research Institutes,150,150
ifr-pan-edu-pl-dzialalnosc-naukowa,Polish Research Centers,232,0
ifremer-fr-fr,French Research Institutes,286,287
ign-fr-espace-presse,French Public Institutions,67,70
igualdad-gob-es-comunicacion,Spain Ministries,216,286
iheid-swisscovery-ch-discovery,Switzerland Research Centers,523,242
ii-re-kr-base,한국완료,287,1146
illustro-iadt-figshare-com-search,Irish Research Centers,92,92
incheon-go-kr-ic010205,한국완료,1328,660
indicators-be-nl,벨기에완료,84,84
ineris-fr-fr,French Research Institutes,141,0
info-daegu-go-kr-newshome,한국완료,490,1300
info-korail-com-info,한국완료,565,1633
infrastructure-ni-gov-uk-news,영국완료,420,20
inrae-fr-actualites,French Research Institutes,830,0
inria-fr-fr,French Research Institutes,114,0
insee-fr-fr,French Public Institutions,223,0
international-canada-ca-en,Canada Ministries,14,14
international-gc-ca-transparency-transpa,Canada Ministries,22,14
ir-arcnl-nl,Dutch Research Centers,452,3961
irb-usi-ch-publications,Switzerland Research Centers,558,580
irsn-fr-actualites,French Research Institutes,274,274
iucn-org-about-iucn,Switzerland Research Centers,19,19
iucn-org-press-releases,Switzerland Research Centers,68,69
iucn-org-resources,Switzerland Research Centers,6,6
iwhr-com-zgskywwnew,중국 완료,62,0
jeju-go-kr-news,한국완료,1087,1158
jeonnam-go-kr-m7116,한국완료,770,440
jsearch-mwr-gov-cn-irs-c-web,중국 완료,2499,4276
justice-gov-news,USA Executive Departments,741,1618
justice-ni-gov-uk-publications,영국완료,228,11
justitsministeriet-dk-forskning,덴마크완료,24,24
justitsministeriet-dk-pressemeddelelse,덴마크완료,346,549
juventudeinfancia-gob-es-es,Spain Ministries,306,307
kamco-or-kr-portal,한국완료,19,19
kammarkollegiet-se-aktuellt,스웨덴 완료,46,48
kasa-go-kr-bbs,한국완료,331,331
kcg-go-kr-kcg,한국완료,624,857
kdca-go-kr-kdca,한국완료,846,1458
kedi-re-kr-khome,한국완료,519,863
keei-re-kr-boardes,한국완료,452,1040
kefm-dk-aftaler,덴마크완료,101,102
kei-re-kr-eliblistes,한국완료,364,573
keis-or-kr-keis,한국완료,22,21
kepco-co-kr-home,한국완료,400,491
khs-go-kr-cop,한국완료,38,13
khs-go-kr-newsbbz,한국완료,1249,0
kicce-re-kr-main,한국완료,368,9
kice-re-kr-boardcnts,한국완료,500,939
kicj-re-kr-boardes,한국완료,154,260
kiep-go-kr-galleryes,한국완료,437,2051
kihasa-re-kr-news,한국완료,615,943
kihasa-re-kr-publish,한국완료,673,0
kinfa-or-kr-notificationpromotio,한국완료,732,766
kinu-or-kr-main,한국완료,432,434
kipa-re-kr-html,한국완료,8,7
kipf-re-kr-bbs,한국완료,352,353
kipf-re-kr-kor,한국완료,601,206
kipo-go-kr-ko,한국완료,500,602
kisdi-re-kr-bbs,한국완료,502,1178
kisdi-re-kr-report,한국완료,501,1019
kli-re-kr-kli,한국완료,500,1628
klimaraadet-dk-da,덴마크완료,84,84
klri-re-kr-kor,한국완료,590,384
kma-go-kr-kma,한국완료,86,58
kmcc-go-kr-userdo,한국완료,666,1920
kna-forest-go-kr-kfsweb,한국완료,372,375
kommunikasjon-ntb-no-presserom,Norway Research Centers,116,116
kostat-go-kr-boardes,한국완료,100,0
koti-re-kr-user,한국완료,373,533
krei-re-kr-krei,한국완료,1450,2097
krihs-re-kr-boardes,한국완료,600,1036
krihs-re-kr-krihslibraryarticle,한국완료,744,744
krihs-re-kr-krihslibraryreport,한국완료,168,150
krivet-re-kr,한국완료,1,1232
krivet-re-kr-kor,한국완료,500,553
kwdi-re-kr-plaza,한국완료,819,454
kwdi-re-kr-publications,한국완료,500,629
lavoro-gov-it-stampa-e-media,Italy Ministries,340,20
lecese-fr-espace-presse,French Public Institutions,500,676
lib-cssn-cn-zy,중국 완료,204,204
libreria-educacion-gob-es-p,Spain Ministries,330,350
llnl-gov-news,American Research Institutes,3537,3997
mafra-go-kr-home,한국완료,761,238
marine-ie-site-area,Irish Research Centers,24,14
masaf-gov-it-flex,Italy Ministries,601,922
mbie-govt-nz-building-and-energy,뉴질랜드완료,80,0
mem-gov-cn-fw,중국 완료,62,63
meri-belspo-be-site,벨기에완료,21,21
met-no-publikasjoner,Norway Research Centers,116,0
meteofrance-fr-actualite,French Research Institutes,94,97
mfat-govt-nz-en,뉴질랜드완료,11,11
mfds-go-kr-brd,한국완료,461,410
miit-gov-cn-zwgk,중국 완료,26,26
mim-gov-it-web,Italy Ministries,41,20
mimit-gov-it-it,Italy Ministries,92,93
minagric-gr-the-ministry-2,Greece Ministries,267,281
mindigital-gr-archives,Greece Ministries,675,1224
minedu-gov-gr-grafeio-typoy-kai-di,Greece Ministries,404,0
minfin-gov-gr-grafeio-typou,Greece Ministries,1797,0
ministryofjustice-gr,Greece Ministries,261,264
minrel-gob-cl-minrel,Chile Ministries,4547,490
minscfa-gov-gr-grafeio-typou,Greece Ministries,626,0
mintour-gov-gr-deltia-typoy,Greece Ministries,394,745
miteco-gob-es-es,Spain Ministries,379,690
mivau-gob-es-el-ministerio,Spain Ministries,473,738
mma-go-kr-board,한국완료,616,683
mnd-go-kr-user,한국완료,304,0
mod-mil-gr-category,Greece Ministries,470,1480
moe-go-kr-boardcnts,한국완료,1250,1047
moe-gov-cn-jyb_xwfb,중국 완료,418,422
moe-gov-cn-jyb_xxgk,중국 완료,18,18
moef-go-kr-nw,한국완료,683,2000
mof-go-kr-doc,한국완료,624,823
mof-gov-cn-en,중국 완료,9,9
mofa-go-kr-www,한국완료,521,1338
mofe-go-kr-id,한국완료,133,133
mogef-go-kr-nw,한국완료,852,213
mohrss-gov-cn-xxgk2020,중국 완료,19,19
mohw-go-kr-boardes,한국완료,920,311
mois-go-kr-frt,한국완료,1148,119
moj-go-kr-moj,한국완료,793,259
moleg-go-kr-boardes,한국완료,256,256
molit-go-kr-usr,한국완료,390,210
motir-go-kr-kor,한국완료,703,340
mpi-govt-nz-about-mpi,뉴질랜드완료,14,0
mpi-govt-nz-resources-and-forms,뉴질랜드완료,35,0
mpva-go-kr-mpva,한국완료,590,402
msd-govt-nz-about-msd-and-our-wo,뉴질랜드완료,16,16
msit-go-kr-bbs,한국완료,488,488
mss-go-kr-site,한국완료,500,391
mva-gov-cn-gongkai,중국 완료,15,15
mwr-gov-cn-english,중국 완료,37,37
mwr-gov-cn-zwgk,중국 완료,18,18
naacc-go-kr-web,한국완료,334,338
nbb-be-en,벨기에완료,15,15
ncats-nih-gov-news-events,American Research Institutes,19,6
nccih-nih-gov-news,American Research Institutes,57,54
ncri-ie-en,Irish Research Centers,104,100
neac-gov-cn-seac,중국 완료,57,57
nec-go-kr-site,한국완료,175,0
nei-nih-gov-about,American Research Institutes,14,14
nersc-no-en,Norway Research Centers,349,107
nesc-ie-publications,Irish Research Centers,121,19
netl-doe-gov-advsearch,American Research Institutes,28,0
netl-doe-gov-energy-analysis,American Research Institutes,97,97
netl-doe-gov-fecm-external-r-and-,American Research Institutes,343,151
netl-doe-gov-search-r-d-publicati,American Research Institutes,729,166
news-admin-ch-en,Switzerland Departments,0,7
nfa-go-kr-nfa,한국완료,112,95
nhc-gov-cn-wjw,중국 완료,71,10
nhlbi-nih-gov-resources,American Research Institutes,325,188
nia-nih-gov-news,American Research Institutes,95,57
niaaa-nih-gov-news-events,American Research Institutes,80,80
niams-nih-gov-newsroom,American Research Institutes,15,15
nibib-nih-gov-news-events,American Research Institutes,39,39
nibio-no-en,Norway Research Centers,219,34
nichd-nih-gov-newsroom,American Research Institutes,329,95
nida-nih-gov-news-events,American Research Institutes,46,46
nidcd-nih-gov-news,American Research Institutes,203,0
nidcd-nih-gov-order,American Research Institutes,90,0
nidcr-nih-gov-news-events,American Research Institutes,87,88
niddk-nih-gov-news,American Research Institutes,124,99
nidi-nl-en,Dutch Research Centers,285,70
niehs-nih-gov-newsreleases,American Research Institutes,40,40
nifu-no-en,Norway Research Centers,363,20
nigms-nih-gov-news,American Research Institutes,21,21
nih-gov-news-events,American Research Institutes,409,0
nih-gov-press-room,American Research Institutes,449,0
nikhef-nl-pub,Dutch Research Centers,26,4
nim-ac-cn-taxonomy,중국 완료,34,34
nimh-nih-gov-news,American Research Institutes,492,157
nimhd-nih-gov-news-events,American Research Institutes,13,13
nin-nl-publications,Dutch Research Centers,471,201
ninds-nih-gov-news-events,American Research Institutes,253,73
ninds-nih-gov-publications,American Research Institutes,71,70
nioo-knaw-nl-en,Dutch Research Centers,75,75
nisra-gov-uk-publications,영국완료,522,249
nist-gov-publications,American Research Institutes,478,207
nivel-nl-en,Dutch Research Centers,520,168
nkvts-no-english,Norway Research Centers,562,0
nnsa-mee-gov-cn-english,중국 완료,10,10
noc-ac-uk-about-us,영국완료,7,0
noc-ac-uk-publications,영국완료,234,54
nordlandsforskning-no-en,Norway Research Centers,304,217
nps-or-kr-inforls,한국완료,115,89
nps-or-kr-pnsgdnc,한국완료,182,138
nrc-re-kr-boardes,한국완료,470,116
ntp-niehs-nih-gov-publications,American Research Institutes,536,261
nts-go-kr-nts,한국완료,42,42
nupi-no-en,Norway Research Centers,28,0
nypi-re-kr,한국완료,3,298
nypi-re-kr-board,한국완료,150,151
nzpri-aut-ac-nz-document-library,뉴질랜드완료,7,0
oig-treasury-gov-other-reports-testim,USA Executive Departments,1353,1354
om-mp-be-nl,벨기에완료,239,0
onera-fr-fr,French Research Institutes,145,148
ons-gov-uk-search,영국완료,516,285
openaire-eu-os-slovenia,Slovenia Research Centers,28,28
opendata-centralbank-ie-dataset,Irish Research Centers,38,39
opendatacommunities-org-data,영국완료,3,0
opengov-seoul-go-kr-research,한국완료,344,209
openscience-si-naprednoiskanjeaspx,Slovenia Research Centers,30,19
opm-go-kr-opm,한국완료,660,251
ots-at-pressemappe,오스트리아완료,500,169
par-nsf-gov-search,American Research Institutes,2481,1370
pbc-gov-cn-en,중국 완료,224,224
pbl-nl-en,Dutch Research Centers,649,133
pbocri-org-cn-lnzy3html,중국 완료,8,0
pbocri-org-cn-xslwhtml,중국 완료,2,2
plan-be-nl,벨기에완료,152,90
pleanala-ie-en-ie,Irish Research Centers,54,50
pmc-gov-au-resources,호주완료,129,0
police-go-kr-user,한국완료,747,365
policyalternatives-ca-news-research,Canadian Research Centers,1543,593
politie-be-statistieken,벨기에완료,95,95
polytechnique-edu-presse,French Public Universities,226,128
portaldiplomatico-mne-gov-pt-en,Portugal Ministries,378,37
pps-go-kr-kor,한국완료,290,291
presse-cnam-fr-communiques,French Public Institutions,36,38
presse-curie-fr-section,French Research Institutes,300,36
presse-economie-gouv-fr,France Ministries,1206,578
prism-go-kr-homepage,한국완료,2900,9301
provenienzforschung-gv-at-empfehlungen-des-bei,오스트리아완료,425,0
psi-ch-en,Switzerland Research Centers,405,152
ptb-de-cms,GER ResearchCenters(Unfinished),8,8
publications-idiap-ch-publications,Switzerland Research Centers,231,35
publicsafety-gc-ca-cnt,Canada Ministries,424,0
publicservice-govt-nz-data,뉴질랜드완료,61,61
publicservice-govt-nz-research-and-data,뉴질랜드완료,110,110
publikationen-bundesregierung-de-pp-de,Germany Ministries,112,64
pubs-drdc-rddc-gc-ca-basis,Canadian Research Centers,4040,4966
pubs-usgs-gov,American Research Institutes,10,333
pubshop-bmbwf-gv-at-indexphp,오스트리아완료,479,144
pure-mpg-de-search,GER ResearchCenters(Unfinished),75,25
rcaanc-cirnac-gc-ca-eng,Canada Ministries,33,33
rda-go-kr-board,한국완료,1020,372
regjeringen-no-en,Norway Ministries,187,0
reglementation-controle-asnr-fr-information,French Public Institutions,6,6
regulation-govt-nz-about-us,뉴질랜드완료,247,179
repository-lboro-ac-uk,영국완료,128,129
repository-library-noaa-gov-view,American Research Institutes,812,290
repository-naturalis-nl,Dutch Research Centers,9681,364
repository-tno-nl-doclist,Dutch Research Centers,10508,160
reseau-canope-fr-espace-presse,French Public Institutions,19,19
rigsrevisionen-dk-revisionssager,덴마크완료,590,316
rijksoverheid-nl-documenten,Netherland Ministries,274,0
ris-bka-gv-at-ergebniswxe,오스트리아완료,507,82
rki-de-de,GER ResearchCenters(Unfinished),66,67
ruomoplus-lib-uom-gr-simple-search,Greece Research Centers,500,256
saemangeum-go-kr-sda,한국완료,428,177
safefood-net-news,Irish Research Centers,31,0
sante-gouv-fr-ministere,France Ministries,145,15
santepubliquefrance-fr-presse,French Public Institutions,624,30
sastind-gov-cn-n10086200,중국 완료,474,255
scaht-org-en,Switzerland Research Centers,641,28
science-astron-nl-science-astron,Dutch Research Centers,117,0
science-libraries-canada-ca-eng,Canadian Research Centers,31,15
scourt-go-kr-portal,한국완료,982,526
search-open-canada-ca-opendata,Canada Ministries,5287,238
search-worldcat-org-ko,USA Executive Departments,14,13
seco-admin-ch-seco,Switzerland Departments,479,281
seer-cancer-gov-report_to_nation,American Research Institutes,24,24
sejong-go-kr-bbs,한국완료,500,530
sfi-ch-en,Switzerland Research Centers,288,36
sgu-se-en,스웨덴 완료,54,54
si-re-kr-bbs,한국완료,501,160
sib-swiss-community,Switzerland Research Centers,391,188
sib-swiss-training,Switzerland Research Centers,74,67
sintef-no-en,Norway Research Centers,141,99
skillsdevelopmentscotland-co-uk-publications-statist,영국완료,488,487
skm-dk-aktuelt,덴마크완료,457,142
sm-dk-publikationer,덴마크완료,354,297
sm-ee-otsing,Estonia Ministries,158,267
socialstyrelsen-se-en,스웨덴 완료,127,0
sonar-ch-global,Switzerland Research Centers,5462,4039
sozialministerium-gv-at-services,오스트리아완료,206,17
spo-go-kr-site,한국완료,227,227
stat-inst-se-om-sis,스웨덴 완료,69,0
state-gov-department-reports,USA Executive Departments,10,10
state-gwd-go-kr-portal,한국완료,614,326
stats-govt-nz-indicators,뉴질랜드완료,109,109
stepi-re-kr-site,한국완료,570,486
swisspeace-ch-publications,Switzerland Research Centers,304,49
swisstph-ch-en,Switzerland Research Centers,1087,141
telemarksforsking-no-publikasjoner,Norway Research Centers,280,9
tigta-gov-reports,USA Executive Departments,133,0
toi-no-publications,Norway Research Centers,470,114
transparency-gov-au-publications,호주완료,2694,0
transportation-gov-newsroom,USA Executive Departments,205,0
transportes-gob-es-el-ministerio,Spain Ministries,288,120
treasury-gov-au-publication,호주완료,651,259
ufm-dk-publikationer,덴마크완료,44,38
ulsan-go-kr-u,한국완료,58,58
um-dk-om-os,덴마크완료,24,24
ungeneva-org-en,Switzerland Research Centers,93,68
unidata-gv-at-pages,오스트리아완료,404,73
unikorea-go-kr-web,한국완료,47,41
usgs-gov-news,American Research Institutes,1549,164
ustat-mur-gov-it,Italy Ministries,92,94
uvek-admin-ch-en,Switzerland Departments,501,50
va-gov-vetdata,USA Executive Departments,114,114
vbs-admin-ch-en,Switzerland Departments,111,21
vtg-admin-ch-en,Switzerland Departments,18,18
wbf-admin-ch-en,Switzerland Departments,500,0
wef-infor-cl-indexphp,Chile Ministries,448,453
werk-belgie-be-nl,벨기에완료,316,132
who-int-publications,Switzerland Research Centers,511,139
women-govt-nz-library,뉴질랜드완료,14,14
www2-mrc-lmb-cam-ac-uk-research,영국완료,47,16
www6-slac-stanford-edu-news-and-events,American Research Institutes,267,145
xxgk-mot-gov-cn-2020,중국 완료,456,89
ypen-gov-gr-category,Greece Ministries,454,184
ypergasias-gov-gr-category,Greece Ministries,531,0
ypes-gr-category,Greece Ministries,987,634
acma-gov-au-publications,호주완료,316,
ag-gov-au-publications,호주완료,607,
data-e-gov-go-jp-data,일본완료,1392,
defence-gov-au-publications,호주완료,80,
dfat-gov-au-publications,호주완료,324,
earth-prints-org,Italy Research centers,796,
flore-unifi-it,Italy Research centers,14038,
government-se-publications,스웨덴 완료,465,
health-gov-au-publications,호주완료,749,
health-govt-nz-publications,뉴질랜드완료,306,
iris-unitn-it,Italy Research centers,10521,
justice-govt-nz-publications,뉴질랜드완료,0,
nhmrc-gov-au-publications,호주완료,232,
openaccess-inaf-it,Italy Research centers,513,
treasury-govt-nz-publications,뉴질랜드완료,245,
