site_id,sheet,collected,source_total,method,confidence,endpoint_used,note
arcnl-nl-publications,Dutch Research Centers,11,,unknown,,,arcnl.nl:not_json; arcnl.nl/publications/types/bachelorthes:not_json; arcnl.nl/publications/types/phdthesis:not_json
arn-se-om-arn,스웨덴 완료,80,,unknown,,,www.arn.se:not_json; www.arn.se/om-arn/arsredovisning/:not_json; www.arn.se/om-arn/vagledande-beslut/:not_json
auri-re-kr-boardes,한국완료,260,,unknown,,,www.auri.re.kr:http_500; www.auri.re.kr/board.es?mid=a10401030000:not_json
artsetmetiers-hal-science-search,French Public Universities,86,,unknown,,,artsetmetiers.hal.science:not_json; artsetmetiers.hal.science/search/index/?:not_json
bankofcanada-ca-publications,Canadian Research Centers,27,,unknown,,,www.bankofcanada.ca:not_json; www.bankofcanada.ca/publications/canadia:not_json; www.bankofcanada.ca/publications/browse/:not_json; www.bankofcanada.ca/wp-content/plugins/f:not_json_container
astron-nl-about,Dutch Research Centers,57,,unknown,,,www.astron.nl:http_500; www.astron.nl/about/annual-reports/:http_500
babraham-ac-uk-news,영국완료,483,,unknown,,,www.babraham.ac.uk:not_json; www.babraham.ac.uk/news/category/news:not_json
auswaertiges-amt-de-en,독일완료,526,,unknown,,,www.auswaertiges-amt.de/ajax/json-filter:no_total_field; www.auswaertiges-amt.de:not_json; www.auswaertiges-amt.de/en/newsroom/news:not_json
astro-oma-be-en,벨기에완료,22,,unknown,,,www.astro.oma.be:not_json; www.astro.oma.be/en/information/publicat:not_json
academie-sciences-fr-espace-presse,French Public Institutions,68,370,html_paginate,low,https://www.academie-sciences.fr/espace-presse?page=6,https://www.academie-sciences.fr/espace-presse?page=6
ansto-gov-au-search,호주완료,30,,unknown,,,www.ansto.gov.au:not_json; www.ansto.gov.au/views/ajax:not_json; www.ansto.gov.au/search?query=pdf:not_json
auri-re-kr-publication,한국완료,593,,unknown,,,www.auri.re.kr:http_500; www.auri.re.kr/publication/list.es:not_json; www.auri.re.kr/publication/list.es?mid=a:not_json
auswaertiges-amt-de-de,Germany Ministries,224,,unknown,,,www.auswaertiges-amt.de/ajax/json-filter:no_total_field; www.auswaertiges-amt.de:not_json; www.auswaertiges-amt.de/de/newsroom/pres:not_json
benthamscience-com-press-release,Switzerland Research Centers,191,,unknown,,,www.benthamscience.com:not_json; www.benthamscience.com/data_raid/ruci_wo:http_404; www.benthamscience.com/press-release:not_json
andra-fr-publications,French Research Institutes,1,,unknown,,,www.andra.fr:not_json; www.andra.fr/publications?f%5B0%5D=facet:not_json; www.andra.fr/views/ajax:not_json; www.andra.fr/publications?f%5B0%5D=facet:not_json
banque-france-fr-en,French Public Institutions,530,,unknown,,,www.banque-france.fr/en/publications-and:not_json; www.banque-france.fr:not_json; www.banque-france.fr/en/press-release:not_json
archives-nationales-culture-gouv-fr-presse,French Public Institutions,15,26,html_count_regex,medium,https://www.archives-nationales.culture.gouv.fr/presse?title=&field_type_publication_target_id_1%5B32%5D=32&created%5Bvalue%5D=,https://www.archives-nationales.culture.gouv.fr/presse?title=&field_type_publication_target_id_1%5B32%5D=32&created%5Bvalue%5D=
amf-france-org-fr,French Public Institutions,157,,unknown,,,www.amf-france.org:not_json; www.amf-france.org/sitemap.xml:error:ConnectionError
ami-swiss-en,Switzerland Research Centers,558,,unknown,,,www.ami.swiss/en/research/publications.h:not_json; www.ami.swiss:error:ConnectionError; api.crossref.org/works:no_total_field
afd-fr-fr,French Public Institutions,797,,unknown,,,www.afd.fr:not_json; www.afd.fr/fr/publications/liste:not_json; www.afd.fr/fr/publications/liste?words=&:not_json
bmas-de-de,Germany Ministries,454,,unknown,,,www.bmas.de/SiteGlobals/Forms/Suche/Pres:not_json; www.bmas.de:not_json; www.bmas.de/SiteGlobals/Forms/Suche/Pres:not_json; www.bmas.de/DE/Service/Publikationen/Neu:not_json
agriculture-gouv-fr-recherche-developpem,France Ministries,472,,unknown,,,agriculture.gouv.fr:not_json; agriculture.gouv.fr/espace-presse?query=:not_json; agriculture.gouv.fr/recherche-developpem:not_json
bfs-admin-ch-bfs,Switzerland Departments,384,8141,json_total,medium,https://www.bfs.admin.ch/content/bfs/de/home/jcr:content/root/main/section_1270692185/container/grid/grid_par_1/container/nip.model.json,key=paginationData.totalResults
baw-de-en,GER ResearchCenters(Unfinished),14,,unknown,,,www.baw.de:http_403; www.baw.de/en/publikationen/geschaeftsbe:http_403; www.baw.de/content/v2/publis/ws.php:http_403
bmi-gv-at-114,오스트리아완료,76,,unknown,,,www.bmi.gv.at:not_json; www.bmi.gv.at/114/start.aspx:not_json; www.bmi.gv.at/114:not_json
asn-fr-information,French Public Institutions,19,,unknown,,,www.asn.fr:not_json
bfr-bund-de-en,GER ResearchCenters(Unfinished),23,,unknown,,,"www.bfr.bund.de/api/v1/en/mini-suche:rejected_total<collected(6<23,method=json_total); www.bfr.bund.de:not_json; www.bfr.bund.de/en/publications/annual-r:not_json"
bmds-bund-de-aktuelles,Germany Ministries,79,,unknown,,,bmds.bund.de:not_json; bmds.bund.de/aktuelles/pressemitteilunge:not_json
asiapacific-ca-media,Canadian Research Centers,50,,unknown,,,www.asiapacific.ca:error:ConnectTimeout; www.asiapacific.ca/media/press-releases:error:ConnectTimeout
bm-dk-soeg,덴마크완료,88,,unknown,,,bm.ankiro.dk/Public/Rest/Search/bm.dk.js:no_total_field; bm.dk:not_json; bm.dk/data_raid/ruci_workspace/frwaler_j:http_404; bm.dk/soeg/?q=*&ContentTags=Publikation&:not_json
bfe-admin-ch-bfe,Switzerland Departments,1002,,unknown,,,www.bfe.admin.ch:not_json; pubdb.bfe.admin.ch/de/suche:error:ReadTimeout; www.bfe.admin.ch/bfe/de/home/news-und-me:not_json; www.bfe.admin.ch/bfe/de/home/news-und-me:not_json
bmvg-de-en,Germany Ministries,20,,unknown,,,www.bmvg.de:not_json; www.bmvg.de/service/queryL-list-filter/e:not_json; www.bmvg.de/en/press/all-press-releases:not_json
biblio-naturalsciences-be-rbins-publications,벨기에완료,500,,unknown,,,biblio.naturalsciences.be/rbins-publicat:error:ReadTimeout; biblio.naturalsciences.be:error:ReadTimeout; biblio.naturalsciences.be/rbins-publicat:error:ReadTimeout
bok-or-kr-portal,한국완료,430,,unknown,,,www.bok.or.kr:not_json; www.bok.or.kr/portal/singl/newsData/list:not_json; www.bok.or.kr/portal/singl/newsData/list:not_json; www.bok.or.kr/portal/singl/newsData/list:not_json
bmf-gv-at-ministerium,오스트리아완료,36,,unknown,,,www.bmf.gv.at:not_json; www.bmf.gv.at/ministerium/nationale-fina:not_json
bmj-gv-at-ministerium,오스트리아완료,149,,unknown,,,www.bmj.gv.at:not_json; www.bmj.gv.at/ministerium/aktuelle-meldu:not_json
bordbia-ie-about,Irish Research Centers,20,,unknown,,,www.bordbia.ie:http_403; www.bordbia.ie/about/governance/annual-r:http_403
bmluk-gv-at-service,오스트리아완료,315,,unknown,,,www.bmluk.gv.at:not_json; www.bmluk.gv.at/service/zahlen-fakten-ne:not_json; www.bmluk.gv.at/service/zahlen-fakten-ne:not_json
bj-admin-ch-bj,Switzerland Departments,41,,unknown,,,www.bj.admin.ch:not_json; www.bj.admin.ch/bj/en/home/aktuell/mm/_j:http_404; www.bj.admin.ch/bj/en/home/aktuell/mm.ht:http_404
book-ioj-go-kr-library,한국완료,500,,unknown,,,book.ioj.go.kr/library/10210/search:not_json; book.ioj.go.kr:not_json; book.ioj.go.kr/library/10210/search?mate:not_json
budget-canada-ca-home-accueil-enhtml,Canada Ministries,17,,unknown,,,budget.canada.ca:not_json; budget.canada.ca/home-accueil-en.html:not_json
bmz-de-de,Germany Ministries,6,,unknown,,,www.bmz.de:not_json; www.bmz.de/de/aktuelles/publikationen:not_json; www.bmz.de/ajax/filterlist/de/24710-2471:not_json; www.bmz.de/de/aktuelles/publikationen/{c:http_404
bnf-fr-fr,French Public Institutions,488,,unknown,,,www.bnf.fr/fr/jsonapi/node/espace_presse:no_total_field; www.bnf.fr:not_json; www.bnf.fr/fr/recherche-liste?keyword=&t:not_json
biorbic-com-publications,Irish Research Centers,497,,unknown,,,biorbic.com:not_json; biorbic.com/data_raid/ruci_workspace/frw:http_404; biorbic.com/publications/:not_json
bam-de-navigation,GER ResearchCenters(Unfinished),308,,unknown,,,www.bam.de:not_json; www.bam.de/Navigation/EN/News/Paper-of-t:http_404; www.bam.de/Navigation/EN/News/Press-Rele:http_404
bmleh-de-en,독일완료,26,,unknown,,,www.bmleh.de:error:ConnectionError; www.bmleh.de/EN/ministry/organisation/ad:not_json
cac-gov-cn-hdfw,중국 완료,89,,unknown,,,www.cac.gov.cn/cms/JsonList:http_403; www.cac.gov.cn:not_json; www.cac.gov.cn/hdfw/jbzx/jbgg/A09380302i:not_json
bmftr-bund-de-siteglobals,독일완료,197,,unknown,,,www.bmftr.bund.de:not_json; www.bmftr.bund.de/SiteGlobals/Forms/Such:not_json
brgm-fr-fr,French Research Institutes,234,,unknown,,,www.brgm.fr:not_json; www.brgm.fr/fr/actualites?type=Communiqu:not_json
bdap-opendata-rgs-mef-gov-it-catalog,Italy Ministries,360,,unknown,,,bdap-opendata.rgs.mef.gov.it:not_json; bdap-opendata.rgs.mef.gov.it/catalog:not_json
bmleh-de-siteglobals,독일완료,200,,unknown,,,www.bmleh.de:not_json; www.bmleh.de/SiteGlobals/Forms/Suche/DE/:not_json; www.bmleh.de/SiteGlobals/Forms/Suche/DE/:not_json
bmv-de-en,독일완료,11,3584,html_paginate,low,https://www.bmv.de/EN/Services/Statistics/Mobility-in-Germany/mobility-in-germany.html?page=64,https://www.bmv.de/EN/Services/Statistics/Mobility-in-Germany/mobility-in-germany.html?page=64
casseng-cssn-cn-sky_research,중국 완료,8,,unknown,,,casseng.cssn.cn/sky_research/publication:not_json; casseng.cssn.cn:not_json
caitec-org-cn-n6,중국 완료,62,,unknown,,,www.caitec.org.cn/n6/sy_xsyj_yjbg/json/i:no_total_field; www.caitec.org.cn/n6/sy_xsyj_yjbg/json/i:http_404; www.caitec.org.cn:not_json; www.caitec.org.cn/n6/sy_zgdwmyxsbg/:not_json
cc-nih-gov-research,American Research Institutes,199,,unknown,,,www.cc.nih.gov/research/2025:http_403; www.cc.nih.gov:http_403
catalogue-data-govt-nz-dataset,뉴질랜드완료,85,,unknown,,,catalogue.data.govt.nz/api/3/action/pack:error:JSONDecodeError; catalogue.data.govt.nz:not_json; catalogue.data.govt.nz/data_raid/ruci_wo:not_json; catalogue.data.govt.nz/data_raid/ruci_wo:not_json
cancer-gov-about-nci,American Research Institutes,24,,unknown,,,www.cancer.gov:not_json; www.cancer.gov/about-nci/budget/about-bu:not_json
boverket-se-en,스웨덴 완료,9,,unknown,,,www.boverket.se:not_json; www.boverket.se/en/start/publications/?f:not_json; www.boverket.se/en/start/publications/:not_json
business-sweden-com-about-us,스웨덴 완료,94,,unknown,,,www.business-sweden.com:not_json; www.business-sweden.com/about-us/media/p:not_json
centralbank-ie-publication,Irish Research Centers,26,,unknown,,,www.centralbank.ie:not_json; www.centralbank.ie/publication/corporate:not_json
bmlv-gv-at-wissen-forschung,오스트리아완료,18,,unknown,,,www.bmlv.gv.at:not_json; www.bmlv.gv.at/wissen-forschung/publikat:not_json; www.bmlv.gv.at/wissen-forschung/publikat:not_json; www.bmlv.gv.at/wissen-forschung/publikat:not_json
cdhowe-org-research-insights,Canadian Research Centers,344,,unknown,,,cdhowe.org/research-insights/:not_json; cdhowe.org:not_json
chineseafs-org-ckynewsmgr,중국 완료,30,,unknown,,,www.chineseafs.org/ckynewsmgr/newsConten:error:ConnectionError; www.chineseafs.org:error:ConnectionError; www.chineseafs.org/ckynewsmgr/newsConten:error:ConnectionError; www.chineseafs.org/ckynewsmgr/
bmwkms-gv-at-themen,오스트리아완료,41,,unknown,,,www.bmwkms.gv.at:not_json; www.bmwkms.gv.at/themen/kunst-und-kultur:not_json
brsn-net-list,중국 완료,500,,unknown,,,www.brsn.net/list/research/index.html:not_json; www.brsn.net/list/research/index_{}.html:not_json; www.brsn.net:not_json
cer-rec-gc-ca-en,Canadian Research Centers,175,,unknown,,,www.cer-rec.gc.ca:not_json; www.cer-rec.gc.ca/en/about/publications-:not_json
chungnam-go-kr-cnportal,한국완료,425,,unknown,,,www.chungnam.go.kr:not_json; www.chungnam.go.kr/cnportal/cnapcPressLi:not_json; www.chungnam.go.kr/cnportal/cnapcPressLi:not_json; www.chungnam.go.kr/cnportal/cnapcPressLi:not_json
bmwsb-bund-de-de,독일완료,20,,unknown,,,www.bmwsb.bund.de:error:ReadTimeout; www.bmwsb.bund.de/DE/ministerium/gesetzg:error:ReadTimeout; www.bmwsb.bund.de/DE/ministerium/aktuell:error:ReadTimeout
chinatax-gov-cn-chinatax,중국 완료,6,,unknown,,,www.chinatax.gov.cn:not_json; www.chinatax.gov.cn/getFileListByCodeId:not_json; www.chinatax.gov.cn/chinatax/n810219/c10:not_json
cigionline-org-publications,Canadian Research Centers,500,,unknown,,,www.cigionline.org/api/search/:http_500; www.cigionline.org:not_json; www.cigionline.org/publications/:not_json
bmimi-gv-at-themen,오스트리아완료,18,,unknown,,,www.bmimi.gv.at:not_json; www.bmimi.gv.at/themen/innovation/publik:not_json; www.bmimi.gv.at/themen/innovation/publik:not_json
civilprotection-gov-gr-deltia-tupou,Greece Ministries,500,,unknown,,,civilprotection.gov.gr:http_403; civilprotection.gov.gr/deltia-tupou:http_403; civilprotection.gov.gr/deltia-tupou?filt:http_403
busan-go-kr-nbtnewsbu,한국완료,537,,unknown,,,www.busan.go.kr:error:ReadTimeout; www.busan.go.kr/nbtnewsBU:error:ReadTimeout
comptroller-defense-gov-odcfo,USA Executive Departments,24,,unknown,,,comptroller.defense.gov:http_403; comptroller.defense.gov/ODCFO/afr/:http_403
cells-es-en,Spanish Research Centers,11,,unknown,,,www.cells.es:not_json; www.cells.es/en/public/corporate-publica:not_json
bundesgesundheitsministerium-de-service,독일완료,229,,unknown,,,www.bundesgesundheitsministerium.de:error:ReadTimeout; www.bundesgesundheitsministerium.de/serv:error:ReadTimeout
comwel-or-kr-comwel,한국완료,471,,unknown,,,www.comwel.or.kr:not_json; www.comwel.or.kr/comwel/noti/pres.jsp:not_json
bmwet-gv-at-services,오스트리아완료,89,,unknown,,,www.bmwet.gv.at:error:ReadTimeout; www.bmwet.gv.at/Services/Publikationen.h:error:ConnectionError
cerema-fr-fr,French Research Institutes,231,,unknown,,,www.cerema.fr:not_json; www.cerema.fr/fr/presse/dossier:not_json; www.cerema.fr/fr/presse/document:not_json
centralesupelec-fr-presse,French Public Institutions,51,,unknown,,,www.centralesupelec.fr:not_json; www.centralesupelec.fr/presse/communique:not_json
cnipa-gov-cn-col,중국 완료,213,,unknown,,,www.cnipa.gov.cn:not_json; www.cnipa.gov.cn/col/col89/index.html:not_json; www.cnipa.gov.cn/module/web/jpage/datapr:not_json; www.cnipa.gov.cn/col/col88/index.html:not_json
csrc-gov-cn-csrc_en,중국 완료,9,,unknown,,,"www.csrc.gov.cn/searchList/{cid}?_isAgg=:rejected_total<collected(0<9,method=json_total); www.csrc.gov.cn:not_json; www.csrc.gov.cn/csrc_en/c102061/:not_json; www.csrc.gov.cn/csrc_en/c102060/common_l:"
bundeskanzleramt-gv-at-bundeskanzleramt,오스트리아완료,480,,unknown,,,www.bundeskanzleramt.gv.at:error:ReadTimeout; www.bundeskanzleramt.gv.at/bundeskanzler:not_json
college-de-france-fr-en,French Public Universities,105,,unknown,,,www.college-de-france.fr:http_403; www.college-de-france.fr/en/news?f%5B0%5:http_403; www.college-de-france.fr/en/news:http_403; www.college-de-france.fr/en/news?f%5B0%5:http_403
cae-eco-fr-presse-cae-0,French Public Institutions,64,,unknown,,,cae-eco.fr:error:ReadTimeout; cae-eco.fr/Presse-CAE-0:error:ReadTimeout
cds-cern-ch-collection,Switzerland Research Centers,505,,unknown,,,inspirehep.net/api/literature:error:ReadTimeout; cds.cern.ch:error:ConnectionError; cds.cern.ch/collection/Published%20Artic:not_json
data-busan-go-kr-bdip,한국완료,2022,,unknown,,,data.busan.go.kr/bdip/srh/getPublicDataL:not_json; data.busan.go.kr:not_json; data.busan.go.kr/bdip/opendata/dataSet.d:not_json; data.busan.go.kr/bdip/opendata/dataSet.d:not_json
cepii-fr-cepii,French Public Institutions,540,,unknown,,,www.cepii.fr:not_json; www.cepii.fr/CEPII/fr/publications/repor:not_json; www.cepii.fr/CEPII/fr/presse/espace_pres:not_json
daejeon-go-kr-drh,한국완료,473,,unknown,,,www.daejeon.go.kr:not_json; www.daejeon.go.kr/drh/board/boardNormalL:not_json; www.daejeon.go.kr/drh/board/boardNormalL:not_json
csic-es-es,Spanish Research Centers,25,,unknown,,,www.csic.es:not_json; www.csic.es/es/el-csic/informacion-corpo:not_json
bundesumweltministerium-de-en,Germany Ministries,7,,unknown,,,www.bundesumweltministerium.de:error:ReadTimeout; www.bundesumweltministerium.de/en/public:not_json
cso-ie-en,Irish Research Centers,388,,unknown,,,www.cso.ie:not_json; www.cso.ie/en/csolatestnews/pressrelease:http_404; www.cso.ie/en/csolatestnews/pressrelease:not_json
data-gv-at-datasets,오스트리아완료,400,116818,json_total,low,https://www.data.gv.at/api/hub/search/search,key=result.count [ratio=292x:review_possible_unscoped_endpoint]
cpb-nl-en,Dutch Research Centers,371,,unknown,,,www.cpb.nl:not_json; www.cpb.nl/en/publications:not_json
carabinieri-it-in-vostro-aiuto,Italy Ministries,301,,unknown,,,www.carabinieri.it:error:ConnectionError; www.carabinieri.it/in-vostro-aiuto/infor:not_json
daten-berlin-de-datensaetze,독일완료,250,2619,ckan,high,https://datenregister.berlin.de/api/3/action/package_search,https://datenregister.berlin.de/api/3/action/package_search
caissedesdepots-fr-communiques-de-press,French Public Institutions,1201,,unknown,,,www.caissedesdepots.fr:not_json; www.caissedesdepots.fr/presse/communique:not_json; www.caissedesdepots.fr/communiques-de-pr:not_json
data-mfe-govt-nz-documents,뉴질랜드완료,21,,unknown,,,data.mfe.govt.nz/services/api/v1.x:http_404; data.mfe.govt.nz:not_json; data.mfe.govt.nz/data_raid/ruci_workspac:http_404; data.mfe.govt.nz/data_raid/ruci_workspac:http_404
data-mfe-govt-nz-tables,뉴질랜드완료,435,,unknown,,,data.mfe.govt.nz/services/api/v1.x:http_404; data.mfe.govt.nz:not_json; data.mfe.govt.nz/data_raid/ruci_workspac:http_404; data.mfe.govt.nz/data_raid/ruci_workspac:http_404
data-gov-be-nl,벨기에완료,132,,unknown,,,data.gov.be:not_json; data.gov.be/data_raid/ruci_workspace/frw:not_json; data.gov.be/data_raid/ruci_workspace/frw:not_json; data.gov.be/nl/datasets?f%5B0%5D=format%:not_json
canada-ca-en,Canada Ministries,948,949,html_count_regex,medium,https://www.canada.ca/en/news/advanced-news-search/news-results.html?_=1618957516190&dprtmnt=crownindigenousrelationsandnorthernaffairscanada&start=&end=,https://www.canada.ca/en/news/advanced-news-search/news-results.html?_=1618957516190&dprtmnt=crownindigenousrelationsandnorthernaffairscanada&start=&e
defense-gov-news,USA Executive Departments,546,,unknown,,,www.defense.gov:http_403; www.defense.gov/DesktopModules/ArticleCS:not_json; www.defense.gov/News/Releases/:http_403
defensa-gob-es-gabinete,Spain Ministries,421,,unknown,,,www.defensa.gob.es:not_json; www.defensa.gob.es/gabinete/notasPrensa/:not_json
datacatalogue-adruk-org-browser,영국완료,484,,unknown,,,datacatalogue.adruk.org/browser/search?i:not_json; api-datacatalogue.adruk.org/api:http_404; datacatalogue.adruk.org:not_json
dair-dias-ie-cgi,Irish Research Centers,500,,unknown,,,dair.dias.ie:not_json; dair.dias.ie/cgi/search/archive/advanced:not_json
data-statistik-gv-at-web,오스트리아완료,500,,unknown,,,data.statistik.gv.at/ogd/json:empty; data.statistik.gv.at:not_json; data.statistik.gv.at/data_raid/ruci_work:not_json; data.statistik.gv.at/data_raid/ruci_work:not_json
dia-govt-nz-diawebsitensf,뉴질랜드완료,28,,unknown,,,www.dia.govt.nz:not_json; www.dia.govt.nz/diawebsite.nsf/wpg_URL/R:not_json
cstb-fr-communiques-de-press,French Research Institutes,48,,unknown,,,www.cstb.fr:not_json; www.cstb.fr/communiques-de-presse:not_json
dhs-gov-congressional-approp,USA Executive Departments,638,,unknown,,,www.dhs.gov:not_json; www.dhs.gov/congressional-appropriations:not_json
dhs-gov-publication,USA Executive Departments,29,,unknown,,,www.dhs.gov:not_json; www.dhs.gov/publication/annual-report-co:not_json
data-taltech-ee-search,Estonia Research Centers,92,219,json_total,medium,https://data.taltech.ee/api/records,key=hits.total
dol-gov-newsroom,USA Executive Departments,275,,unknown,,,www.dol.gov:http_403; www.dol.gov/newsroom/releases?agency=All:http_403; www.dol.gov/newsroom/releases?agency=All:http_403
defence-govt-nz-publications,뉴질랜드완료,431,,unknown,,,www.defence.govt.nz/publications/doSearc:not_json; www.defence.govt.nz:not_json
directives-doe-gov-guidance,USA Executive Departments,260,,unknown,,,www.directives.doe.gov:not_json; www.energy.gov/management/directives-lib:not_json; www.directives.doe.gov/guidance:not_json
data-nist-gov-sdp,American Research Institutes,50,,unknown,,,data.nist.gov/rmm/records:error:ReadTimeout; data.nist.gov:not_json; data.nist.gov/sdp/#/search?q=:not_json
dpmc-govt-nz-publications,뉴질랜드완료,571,,unknown,,,www.dpmc.govt.nz:http_403; www.dpmc.govt.nz/publications:not_json
defense-gouv-fr-salle-de-presse,France Ministries,1980,,unknown,,,www.defense.gouv.fr:not_json; www.defense.gouv.fr/salle-de-presse:not_json
directives-doe-gov-directives-browse,USA Executive Departments,205,,unknown,,,www.directives.doe.gov:not_json; www.energy.gov/management/directives-lib:not_json; www.directives.doe.gov/directives-browse:not_json
drc-gov-cn-leafaspx,중국 완료,555,,unknown,,,www.drc.gov.cn/Json/GetPageDocuments.ash:no_total_field; www.drc.gov.cn:http_406; www.drc.gov.cn/Leaf.aspx?leafid=1338:not_json
cnic-es-en,Spanish Research Centers,419,,unknown,,,www.cnic.es:error:ReadTimeout; www.cnic.es/en/actualidad/noticias:error:ReadTimeout; www.cnic.es/en/scientific-report:error:ReadTimeout
dhs-gov-news-releases,USA Executive Departments,79,,unknown,,,www.dhs.gov:not_json; www.dhs.gov/news-releases/press-releases:not_json
digital-gob-es-comunicacion,Spain Ministries,416,,unknown,,,digital.gob.es:not_json; digital.gob.es/comunicacion:not_json; digital.gob.es/content/portalmtdfp/es/co:http_404; digital.gob.es/content/portalmtdfp/es:http_404
datenportal-bmbf-de-portal,독일완료,75,,unknown,,,www.datenportal.bmbf.de:not_json; www.datenportal.bmftr.bund.de/portal/de:http_404; www.datenportal.bmbf.de/portal/de/bufi.h:not_json
doc-cerema-fr-default,French Research Institutes,697,,unknown,,,doc.cerema.fr/Portal/Recherche/Search.sv:http_403; doc.cerema.fr/Default/search.aspx:http_403; doc.cerema.fr:http_403; doc.cerema.fr/Default/search.aspx#/Searc:http_403
doi-gov-bpp,USA Executive Departments,204,,unknown,,,www.doi.gov:not_json; www.doi.gov/bpp/budget-briefs:not_json; www.doi.gov/bpp/pars:not_json
ecat-ga-gov-au-geonetwork,호주완료,796,,unknown,,,ecat.ga.gov.au/geonetwork/srv/api/search:http_403; ecat.ga.gov.au/geonetwork/srv/eng/catalo:not_json; ecat.ga.gov.au:not_json; ecat.ga.gov.au/geonetwork/srv/eng/catalo:not_json
difesa-it-il-ministro,Italy Ministries,101,,unknown,,,www.difesa.it/data/il-ministro/note-stam:no_total_field; www.difesa.it:not_json; www.difesa.it/il-ministro/note-stampa/el:not_json
ecologie-gouv-fr-presse,France Ministries,4049,,unknown,,,www.ecologie.gouv.fr:http_406; www.ecologie.gouv.fr/presse:http_406
diplomatie-gouv-fr-en,France Ministries,551,,unknown,,,www.diplomatie.gouv.fr:error:ConnectionError; www.diplomatie.gouv.fr/en/press/news:not_json; www.diplomatie.gouv.fr/en/press-room/lat:not_json
dst-dk-da,덴마크완료,408,,unknown,,,www.dst.dk:not_json; www.dst.dk/da/Statistik/udgivelser?pub=p:not_json; www.dst.dk/pubomtale/{pub_id}:http_404; www.dst.dk/da/Statistik/nyheder-analyser:not_json
economy-ni-gov-uk-publications,영국완료,583,,unknown,,,www.economy-ni.gov.uk:not_json; www.economy-ni.gov.uk/publications/feed/:not_json; www.economy-ni.gov.uk/publications:not_json
economie-fgov-be-nl,벨기에완료,138,,unknown,,,economie.fgov.be:not_json; economie.fgov.be/nl/publicaties:not_json
economy-ni-gov-uk-news,영국완료,500,,unknown,,,www.economy-ni.gov.uk:not_json; www.economy-ni.gov.uk/news:not_json
earlham-ac-uk-newsroom,영국완료,278,,unknown,,,www.earlham.ac.uk:no_total_field; www.earlham.ac.uk/views/ajax?_wrapper_fo:no_total_field; www.earlham.ac.uk/newsroom:no_total_field
eda-admin-ch-eda,Switzerland Departments,12,,unknown,,,d-nsbc-p.admin.ch/v1:http_404; d-nsbc-p.admin.ch/v1/search:http_400; www.eda.admin.ch:http_403; www.eda.admin.ch/eda/en/fdfa/fdfa/aktuel:http_403
