site_id,sheet,collected,counted,server_total,completed,elapsed_s,method,note,health
pembina-org-media-releases,Canadian Research Centers,494,3,0,True,6.0,count_crawl,probe_limit:3,ok
pergamos-lib-uoa-gr-search,Greece Research Centers,500,3,159832,True,3.1,count_crawl,probe_limit:3,ok
pmc-gov-au-resources,호주완료,129,0,0,True,0.3,count_crawl,probe_limit:3,empty_zero_parse
phfscience-nz-news-publications,뉴질랜드완료,32,0,0,True,1.0,count_crawl,probe_limit:3,empty_zero_parse
polytechnique-hal-science-search,French Public Universities,3103,3,20288,True,2.8,count_crawl,probe_limit:3,ok
ppforum-ca-press-releases,Canadian Research Centers,42,3,0,True,7.8,count_crawl,probe_limit:3,ok
pnnl-gov-news,American Research Institutes,322,3,0,True,10.6,count_crawl,probe_limit:3,ok
phfscience-nz-digital-library,뉴질랜드완료,501,0,0,True,14.2,count_crawl,probe_limit:3,empty_zero_parse
publicsafety-gc-ca-cnt,Canada Ministries,424,0,0,True,9.0,count_crawl,probe_limit:3,empty_zero_parse
regjeringen-no-en,Norway Ministries,187,0,0,True,0.1,count_crawl,probe_limit:3,empty_zero_parse
publichealthscotland-scot-publications,영국완료,373,3,0,True,14.4,count_crawl,probe_limit:3,ok
rdr-kuleuven-be-dataverse,벨기에완료,418,3,822,True,12.7,count_crawl,probe_limit:3,ok
ineris-fr-fr,French Research Institutes,141,0,0,False,300.3,count_crawl,external_timeout_kill:lower_bound,timeout
reports-nlr-nl-collections,Dutch Research Centers,18,3,1407,True,3.3,count_crawl,probe_limit:3,ok
repo-lib-duth-gr-jspui,Greece Research Centers,7156,3,0,True,8.1,count_crawl,probe_limit:3,ok
