site_id,sheet,collected,counted,completed,elapsed_s,method,outcome,note
infrastructure-ni-gov-uk-news,영국완료,420,20,True,50.5,count_crawl,ok,caps_neutralized:MAX_PAGES=200->10000000 | stealth_ok=22 stealth_fail=0 fallback=0
inria-fr-fr,French Research Institutes,114,0,True,3.2,count_crawl,zero_parsed,caps_neutralized:_MAX_PAGES=200->10000000 | stealth_ok=1 stealth_fail=0 fallback=0
inria-hal-science-search,French Research Institutes,1083,0,True,4.4,count_crawl,fetch_fail,caps_neutralized:_MAX_PAGES=200->10000000 | stealth_ok=1 stealth_fail=0 fallback=0
inrae-fr-actualites,French Research Institutes,830,831,True,63.3,count_crawl,ok,caps_neutralized:MAX_PAGES=200->10000000;MAX_SECONDS=1500->10000000 | stealth_ok=7 stealth_fail=0 fallback=0
incheon-go-kr-ic010205,한국완료,1328,455,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
inserm-hal-science-search,French Research Institutes,883,0,True,7.3,count_crawl,fetch_fail,caps_neutralized:_MAX_PAGES=200->10000000 | stealth_ok=1 stealth_fail=0 fallback=0
international-andra-fr-documents-and-visual,French Research Institutes,34,34,True,209.9,count_crawl,ok,caps_neutralized:MAX_PAGES=200->10000000 | stealth_ok=0 stealth_fail=0 fallback=0
insight-centre-org-press-releases,Irish Research Centers,54,54,True,230.2,count_crawl,ok,stealth_ok=55 stealth_fail=0 fallback=0
international-canada-ca-en,Canada Ministries,14,2,True,27.3,count_crawl,ok,stealth_ok=15 stealth_fail=0 fallback=0
international-gc-ca-transparency-transpa,Canada Ministries,22,2,True,40.6,count_crawl,ok,stealth_ok=15 stealth_fail=0 fallback=0
ineris-fr-fr,French Research Institutes,141,0,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
info-daegu-go-kr-newshome,한국완료,490,443,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
info-korail-com-info,한국완료,565,516,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
ird-hal-science-search,French Research Institutes,1144,145,True,38.9,count_crawl,ok,stealth_ok=6 stealth_fail=0 fallback=0
irpp-org-about-the-irpp,Canadian Research Centers,25,25,True,152.1,count_crawl,ok,stealth_ok=1 stealth_fail=0 fallback=0
insee-fr-fr,French Public Institutions,223,0,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
ir-arcnl-nl,Dutch Research Centers,452,373,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
isae-ensma-hal-science-search,French Public Universities,14,0,True,6.2,count_crawl,fetch_fail,caps_neutralized:_MAX_PAGES=200->10000000 | stealth_ok=1 stealth_fail=0 fallback=0
issibern-ch-outreach,Switzerland Research Centers,157,0,False,11.8,error:RuntimeError,error,start page fetch failed | stealth_ok=3 stealth_fail=0 fallback=0
ir-cwi-nl,Dutch Research Centers,592,375,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
issibern-ch-results,Switzerland Research Centers,495,49,True,24.7,count_crawl,ok,stealth_ok=1 stealth_fail=0 fallback=0
issnationallab-org-press-releases,American Research Institutes,561,100,True,2.1,count_crawl,ok,stealth_ok=1 stealth_fail=0 fallback=0
issnationallab-org-about,American Research Institutes,82,36,True,80.4,count_crawl,ok,stealth_ok=6 stealth_fail=0 fallback=0
issnationallab-org-research-and-science,American Research Institutes,12,0,True,14.6,count_crawl,fetch_fail,stealth_ok=3 stealth_fail=0 fallback=0
iucn-org-about-iucn,Switzerland Research Centers,19,19,True,101.2,count_crawl,ok,stealth_ok=39 stealth_fail=0 fallback=0
iucn-org-press-releases,Switzerland Research Centers,68,69,True,143.4,count_crawl,ok,stealth_ok=77 stealth_fail=0 fallback=0
iucn-org-resources,Switzerland Research Centers,6,6,True,16.1,count_crawl,ok,caps_neutralized:_MAX_PAGES=200->10000000 | stealth_ok=8 stealth_fail=0 fallback=0
ivo-se-sok,스웨덴 완료,134,10,True,44.5,count_crawl,ok,caps_neutralized:MAX_PAGES=200->10000000 | stealth_ok=12 stealth_fail=0 fallback=0
ir-lib-uth-gr-xmlui,Greece Research Centers,843,339,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
irb-usi-ch-publications,Switzerland Research Centers,558,1,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
irsn-fr-actualites,French Research Institutes,274,274,True,1005.7,count_crawl,ok,stealth_ok=293 stealth_fail=0 fallback=0
issnationallab-org-publications,American Research Institutes,205,205,True,683.3,count_crawl,ok,stealth_ok=3 stealth_fail=164 fallback=164
irpp-org-media,Canadian Research Centers,487,99,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
iwhr-com-zgskywwnew,중국 완료,62,0,True,450.3,count_crawl,zero_parsed,stealth_ok=0 stealth_fail=164 fallback=164
julkaisut-valtioneuvosto-fi-search,핀란드완료,293,40,True,259.9,count_crawl,ok,stealth_ok=43 stealth_fail=0 fallback=0
justice-gouv-fr-documentation,France Ministries,167,167,True,489.1,count_crawl,ok,caps_neutralized:MAX_PAGES=200->10000000 | stealth_ok=180 stealth_fail=0 fallback=0
jic-ac-uk-news-events,영국완료,1138,1139,True,1037.3,count_crawl,ok,stealth_ok=12 stealth_fail=164 fallback=164
jeju-go-kr-news,한국완료,1087,432,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
justice-ni-gov-uk-publications,영국완료,228,11,True,51.7,count_crawl,ok,stealth_ok=22 stealth_fail=0 fallback=0
jeonnam-go-kr-m7116,한국완료,770,300,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
justitsministeriet-dk-forskning,덴마크완료,24,24,True,22.5,count_crawl,ok,stealth_ok=7 stealth_fail=0 fallback=0
kamco-or-kr-portal,한국완료,19,19,True,51.4,count_crawl,ok,caps_neutralized:_MAX_PAGES=200->10000000 | stealth_ok=19 stealth_fail=0 fallback=0
jgi-doe-gov-user-science,American Research Institutes,682,12,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
kammarkollegiet-se-aktuellt,스웨덴 완료,46,48,True,108.2,count_crawl,ok,stealth_ok=49 stealth_fail=0 fallback=0
jsearch-mwr-gov-cn-irs-c-web,중국 완료,2499,1685,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
kb-se-om-oss,스웨덴 완료,80,79,True,258.2,count_crawl,ok,caps_neutralized:_MAX_PAGES=200->10000000 | stealth_ok=90 stealth_fail=0 fallback=0
kasa-go-kr-bbs,한국완료,331,331,True,784.1,count_crawl,ok,stealth_ok=365 stealth_fail=0 fallback=0
justice-gov-news,USA Executive Departments,741,493,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
justitsministeriet-dk-pressemeddelelse,덴마크완료,346,321,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
