site_id,site_name,status,category,reason,collected
biblio-naturalsciences-be-rbins-publications,Custom: biblio-naturalsciences-be-rbins-publications,된다,,,500
biorbic-com-publications,Custom: biorbic-com-publications,된다,,,497
bj-admin-ch-bj,Custom: bj-admin-ch-bj,된다,,,41
bjerknes-uib-no-en,Custom: bjerknes-uib-no-en,된다,,,214
bm-dk-soeg,Custom: bm-dk-soeg,된다,,,88
bmas-de-de,Custom: bmas-de-de,된다,,,454
bmbfsfj-bund-de-bmbfsfj,Custom: bmbfsfj-bund-de-bmbfsfj,된다,,,502
bmds-bund-de-aktuelles,Custom: bmds-bund-de-aktuelles,된다,,,79
bmf-gv-at-ministerium,Custom: bmf-gv-at-ministerium,된다,,,36
bmftr-bund-de-siteglobals,Custom: bmftr-bund-de-siteglobals,된다,,,197
bmi-gv-at-114,Custom: bmi-gv-at-114,된다,,,76
bmimi-gv-at-themen,Custom: bmimi-gv-at-themen,된다,,,18
bmj-gv-at-ministerium,Custom: bmj-gv-at-ministerium,된다,,,149
bmleh-de-en,Custom: bmleh-de-en,된다,,,26
bmleh-de-siteglobals,Custom: bmleh-de-siteglobals,된다,,,200
bmluk-gv-at-service,Custom: bmluk-gv-at-service,된다,,,315
bmlv-gv-at-wissen-forschung,Custom: bmlv-gv-at-wissen-forschung,된다,,,18
bmv-de-en,Custom: bmv-de-en,된다,,,11
bmvg-de-en,Custom: bmvg-de-en,된다,,,20
bmwet-gv-at-services,Custom: bmwet-gv-at-services,된다,,,89
bmwkms-gv-at-themen,Custom: bmwkms-gv-at-themen,된다,,,41
bmwsb-bund-de-de,Custom: bmwsb-bund-de-de,된다,,,20
bmz-de-de,Custom: bmz-de-de,된다,,,6
bnf-fr-fr,Custom: bnf-fr-fr,된다,,,488
bok-or-kr-portal,Custom: bok-or-kr-portal,된다,,,430
book-ioj-go-kr-library,Custom: book-ioj-go-kr-library,된다,,,500
bordbia-ie-about,Custom: bordbia-ie-about,안된다,IP차단,"우리 IP 차단(403/WAF) — 클라이언트 egress에서 재확인 필요, 코드문제 아님",20
boverket-se-en,Custom: boverket-se-en,된다,,,9
bra-se-english,Custom: bra-se-english,된다,,,306
brgm-fr-fr,Custom: brgm-fr-fr,된다,,,234
broadbentinstitute-ca-research,Custom: broadbentinstitute-ca-research,된다,,,81
brsn-net-list,Custom: brsn-net-list,된다,,,500
budget-canada-ca-home-accueil-enhtml,Custom: budget-canada-ca-home-accueil-enhtml,된다,,,17
bundesfinanzministerium-de-web,Custom: bundesfinanzministerium-de-web,된다,,,112
bundesgesundheitsministerium-de-service,Custom: bundesgesundheitsministerium-de-service,된다,,,229
bundeskanzleramt-gv-at-bundeskanzleramt,Custom: bundeskanzleramt-gv-at-bundeskanzleramt,된다,,,480
bundesumweltministerium-de-en,Custom: bundesumweltministerium-de-en,된다,,,7
busan-go-kr-nbtnewsbu,Custom: busan-go-kr-nbtnewsbu,된다,,,537
business-sweden-com-about-us,Custom: business-sweden-com-about-us,된다,,,94
cac-gov-cn-hdfw,Custom: cac-gov-cn-hdfw,된다,,,89
cae-eco-fr-presse-cae-0,Custom: cae-eco-fr-presse-cae-0,된다,,,64
caissedesdepots-fr-communiques-de-press,Custom: caissedesdepots-fr-communiques-de-press,된다,,,1201
caitec-org-cn-n6,Custom: caitec-org-cn-n6,된다,,,62
canada-ca-en,Custom: canada-ca-en,된다,,,948
cancer-fr-catalogue-des-public,Custom: cancer-fr-catalogue-des-public,된다,,,12
cancer-fr-presse,Custom: cancer-fr-presse,된다,,,110
cancer-gov-about-nci,Custom: cancer-gov-about-nci,된다,,,24
canurb-org-publications,Custom: canurb-org-publications,된다,,,92
carabinieri-it-in-vostro-aiuto,Custom: carabinieri-it-in-vostro-aiuto,된다,,,301
casseng-cssn-cn-sky_research,Custom: casseng-cssn-cn-sky_research,된다,,,8
catalog-data-metro-tokyo-lg-jp-dataset,Custom: catalog-data-metro-tokyo-lg-jp-dataset,된다,,,492
catalogue-data-govt-nz-dataset,Custom: catalogue-data-govt-nz-dataset,된다,,,85
cc-nih-gov-research,Custom: cc-nih-gov-research,된다,,,199
cdhowe-org-research-insights,Custom: cdhowe-org-research-insights,된다,,,344
cds-cern-ch-collection,Custom: cds-cern-ch-collection,된다,,,505
cea-hal-science-cnrgh,Custom: cea-hal-science-cnrgh,된다,,,759
cedelft-eu-reports,Custom: cedelft-eu-reports,된다,,,500
cells-es-en,Custom: cells-es-en,된다,,,11
centralbank-ie-publication,Custom: centralbank-ie-publication,된다,,,26
centralesupelec-fr-presse,Custom: centralesupelec-fr-presse,된다,,,51
cepii-fr-cepii,Custom: cepii-fr-cepii,된다,,,540
cer-rec-gc-ca-en,Custom: cer-rec-gc-ca-en,된다,,,175
cerema-fr-fr,Custom: cerema-fr-fr,된다,,,231
chinatax-gov-cn-chinatax,Custom: chinatax-gov-cn-chinatax,된다,,,6
chineseafs-org-ckynewsmgr,Custom: chineseafs-org-ckynewsmgr,안된다,폐쇄/네트워크,사이트 폐쇄/네트워크 불통(DNS·연결 실패),30
chungnam-go-kr-cnportal,Custom: chungnam-go-kr-cnportal,된다,,,425
cigionline-org-publications,Custom: cigionline-org-publications,된다,,,500
cirad-fr-espace-presse,Custom: cirad-fr-espace-presse,된다,,,360
civilprotection-gov-gr-deltia-tupou,Custom: civilprotection-gov-gr-deltia-tupou,된다,,,500
climateinstitute-ca-newsroom,Custom: climateinstitute-ca-newsroom,된다,,,110
cmi-no-publications,Custom: cmi-no-publications,된다,,,346
cnam-hal-science-ceet,Custom: cnam-hal-science-ceet,된다,,,279
cnam-hal-science-search,Custom: cnam-hal-science-search,된다,,,975
cnes-fr-communiques,Custom: cnes-fr-communiques,된다,,,119
cnic-es-en,Custom: cnic-es-en,된다,,,419
cnipa-gov-cn-col,Custom: cnipa-gov-cn-col,된다,,,213
cnl-ca-news-publications,Custom: cnl-ca-news-publications,된다,,,137
college-de-france-fr-en,Custom: college-de-france-fr-en,된다,,,105
comptroller-defense-gov-odcfo,Custom: comptroller-defense-gov-odcfo,된다,,,24
comwel-or-kr-comwel,Custom: comwel-or-kr-comwel,된다,,,471
consult-environment-govt-nz-climate,Custom: consult-environment-govt-nz-climate,된다,,,72
consult-environment-govt-nz-resource-management,Custom: consult-environment-govt-nz-resource-management,된다,,,58
consult-environment-govt-nz-waste,Custom: consult-environment-govt-nz-waste,된다,,,58
cora-ucc-ie-search,Custom: cora-ucc-ie-search,된다,,,439
cpb-nl-en,Custom: cpb-nl-en,된다,,,371
cre-fr-documents,Custom: cre-fr-documents,된다,,,27
csem-ch-en,Custom: csem-ch-en,된다,,,168
csic-es-es,Custom: csic-es-es,된다,,,25
cso-ie-en,Custom: cso-ie-en,안된다,점검필요,"과거 수집데이터 있음, 일시적/셀렉터 의심 — 점검 필요",388
csrc-gov-cn-csrc_en,Custom: csrc-gov-cn-csrc_en,된다,,,9
cstb-fr-communiques-de-press,Custom: cstb-fr-communiques-de-press,된다,,,48
culture-gouv-fr-espace-documentation,Custom: culture-gouv-fr-espace-documentation,된다,,,304
cwf-ca-publications,Custom: cwf-ca-publications,된다,,,228
daejeon-go-kr-drh,Custom: daejeon-go-kr-drh,된다,,,473
dair-dias-ie-cgi,Custom: dair-dias-ie-cgi,된다,,,500
dapa-go-kr-dapa,Custom: dapa-go-kr-dapa,안된다,IP차단,"우리 IP 차단(403/WAF) — 클라이언트 egress에서 재확인 필요, 코드문제 아님",970
data-aeronomie-be-dataset,Custom: data-aeronomie-be-dataset,된다,,,33
