site_id,status,counted,html_list_하한
gsi-ie-en-ie,exact_done,0,0
gwangju-go-kr-boardlistdo,exact_done,1104,1104
gyeongnam-go-kr-board,exact_done,790,790
harcresearch-org-news,notrust_need2h,,104
harcresearch-org-research,notrust_need2h,,0
hatvp-fr-actualites-et-public,exact_done,57,57
hcsp-fr-explorecgi,notrust_need2h,,32
health-ni-gov-uk-news,exact_done,100,100
health-ni-gov-uk-publications,notrust_need2h,,20
hec-edu-en,notrust_need2h,,10
hhs-gov-guidance,exact_done,58,58
hi-no-en,exact_done,119,119
home-cern-news,exact_done,2200,2200
home-treasury-gov-about,notrust_need2h,,12
hrbopenresearch-org,exact_done,739,739
hud-govt-nz-stats-and-insights,notrust_need2h,,2088
humanrights-go-kr-base,exact_done,519,519
icn-artem-com-en,notrust_need2h,,21
icp-fr-a-propos-de-licp,exact_done,99,99
idiap-ch-en,notrust_need2h,,125
ifau-se-forskning,exact_done,106,106
ifau-se-press,exact_done,215,215
ifpenergiesnouvelles-fr-tags,notrust_need2h,,150
ifr-pan-edu-pl-dzialalnosc-naukowa,notrust_need2h,,0
ifremer-fr-fr,exact_done,287,287
ign-fr-espace-presse,notrust_need2h,,70
igualdad-gob-es-comunicacion,exact_done,286,286
iheid-swisscovery-ch-discovery,notrust_need2h,,242
ii-re-kr-base,exact_done,1146,1146
illustro-iadt-figshare-com-search,notrust_need2h,,92
incheon-go-kr-ic010205,exact_done,660,660
indicators-be-nl,notrust_need2h,,84
ineris-fr-fr,exact_done,0,0
info-daegu-go-kr-newshome,exact_done,1300,1300
info-korail-com-info,exact_done,1633,1633
infrastructure-ni-gov-uk-news,notrust_need2h,,20
inrae-fr-actualites,notrust_need2h,,0
inria-fr-fr,notrust_need2h,,0
insee-fr-fr,exact_done,0,0
international-canada-ca-en,notrust_need2h,,14
international-gc-ca-transparency-transpa,notrust_need2h,,14
ir-arcnl-nl,lowerbound_need2h,3961,3961
irb-usi-ch-publications,exact_done,580,580
irsn-fr-actualites,exact_done,274,274
iucn-org-about-iucn,exact_done,19,19
iucn-org-press-releases,notrust_need2h,,69
iucn-org-resources,notrust_need2h,,6
iwhr-com-zgskywwnew,exact_done,0,0
jeju-go-kr-news,exact_done,1158,1158
jeonnam-go-kr-m7116,exact_done,440,440
jsearch-mwr-gov-cn-irs-c-web,exact_done,4276,4276
justice-gov-news,exact_done,1618,1618
justice-ni-gov-uk-publications,notrust_need2h,,11
justitsministeriet-dk-forskning,exact_done,24,24
justitsministeriet-dk-pressemeddelelse,exact_done,549,549
juventudeinfancia-gob-es-es,exact_done,307,307
kamco-or-kr-portal,notrust_need2h,,19
kammarkollegiet-se-aktuellt,notrust_need2h,,48
kasa-go-kr-bbs,notrust_need2h,,331
kcg-go-kr-kcg,exact_done,857,857
kdca-go-kr-kdca,exact_done,1458,1458
kedi-re-kr-khome,exact_done,863,863
