site_id,sheet,collected,counted,status
werk-belgie-be-nl,벨기에완료,316,203,lowerbound_need2h
educacionfpydeportes-gob-es-prensahtml,Spain Ministries,347,200,lowerbound_need2h
koti-re-kr-user,한국완료,373,197,lowerbound_need2h
nichd-nih-gov-newsroom,American Research Institutes,329,197,lowerbound_need2h
www6-slac-stanford-edu-news-and-events,American Research Institutes,267,190,lowerbound_need2h
who-int-publications,Switzerland Research Centers,511,188,lowerbound_need2h
scaht-org-en,Switzerland Research Centers,641,183,lowerbound_need2h
fafo-no-en,Norway Research Centers,322,178,lowerbound_need2h
gov-wales-publications,영국완료,155,172,lowerbound_need2h
presse-curie-fr-section,French Research Institutes,300,171,lowerbound_need2h
gichd-org-publications-resourc,Switzerland Research Centers,266,166,lowerbound_need2h
elocus-lib-uoc-gr-search,Greece Research Centers,282,165,lowerbound_need2h
nersc-no-en,Norway Research Centers,349,165,lowerbound_need2h
mfds-go-kr-brd,한국완료,461,163,lowerbound_need2h
accc-gov-au-search,호주완료,454,162,lowerbound_need2h
telemarksforsking-no-publikasjoner,Norway Research Centers,280,161,lowerbound_need2h
santepubliquefrance-fr-presse,French Public Institutions,624,159,lowerbound_need2h
klri-re-kr-kor,한국완료,590,155,lowerbound_need2h
bmftr-bund-de-siteglobals,독일완료,197,142,lowerbound_need2h
nidi-nl-en,Dutch Research Centers,285,142,lowerbound_need2h
environment-govt-nz-acts-and-regulations,뉴질랜드완료,315,140,lowerbound_need2h
sintef-no-en,Norway Research Centers,141,140,lowerbound_need2h
nifu-no-en,Norway Research Centers,363,138,lowerbound_need2h
carabinieri-it-in-vostro-aiuto,Italy Ministries,301,132,lowerbound_need2h
publications-idiap-ch-publications,Switzerland Research Centers,231,120,lowerbound_need2h
dol-gov-newsroom,USA Executive Departments,275,119,lowerbound_need2h
plan-be-nl,벨기에완료,152,117,lowerbound_need2h
bundesgesundheitsministerium-de-service,독일완료,229,112,lowerbound_need2h
kicj-re-kr-boardes,한국완료,154,103,lowerbound_need2h
ris-bka-gv-at-ergebniswxe,오스트리아완료,507,101,lowerbound_need2h
economy-ni-gov-uk-publications,영국완료,583,97,lowerbound_need2h
graduateinstitute-ch-library,Switzerland Research Centers,398,84,lowerbound_need2h
amf-france-org-fr,French Public Institutions,157,75,lowerbound_need2h
sozialministerium-gv-at-services,오스트리아완료,206,60,lowerbound_need2h
sante-gouv-fr-ministere,France Ministries,145,60,lowerbound_need2h
hhs-gov-guidance,USA Executive Departments,267,43,lowerbound_need2h
igualdad-gob-es-comunicacion,Spain Ministries,216,40,lowerbound_need2h
nhc-gov-cn-wjw,중국 완료,71,26,lowerbound_need2h
data-mfe-govt-nz-documents,뉴질랜드완료,21,21,lowerbound_need2h
openscience-si-naprednoiskanjeaspx,Slovenia Research Centers,30,19,lowerbound_need2h
dhs-gov-news-releases,USA Executive Departments,79,13,lowerbound_need2h
khs-go-kr-cop,한국완료,38,13,lowerbound_need2h
anses-fr-fr,French Research Institutes,6091,0,lowerbound_need2h
ineris-fr-fr,French Research Institutes,141,0,lowerbound_need2h
insee-fr-fr,French Public Institutions,223,0,lowerbound_need2h
kihasa-re-kr-publish,한국완료,673,0,lowerbound_need2h
met-no-publikasjoner,Norway Research Centers,116,0,lowerbound_need2h
nec-go-kr-site,한국완료,175,0,lowerbound_need2h
provenienzforschung-gv-at-empfehlungen-des-bei,오스트리아완료,425,0,lowerbound_need2h
socialstyrelsen-se-en,스웨덴 완료,127,0,lowerbound_need2h
stat-inst-se-om-sis,스웨덴 완료,69,0,lowerbound_need2h
tigta-gov-reports,USA Executive Departments,133,0,lowerbound_need2h
