site_id,sheet,collected,source_total,exact,kind,health
nisra-gov-uk-publications,영국완료,522,249,False,count_lowerbound,"느림(상한걸림,하한값)"
fair-healthdata-be-search,벨기에완료,10,248,True,measured,정상(측정됨)
scp-nl-publicaties,Dutch Research Centers,243,246,True,count_exact,정상(count됨)
irb-usi-ch-publications,Switzerland Research Centers,558,244,False,count_lowerbound,"느림(상한걸림,하한값)"
audencia-com-lecole,French Public Universities,246,243,True,count_exact,정상(count됨)
gwangju-go-kr-boardlistdo,한국완료,500,243,False,count_lowerbound,"느림(상한걸림,하한값)"
krei-re-kr-krei,한국완료,1450,243,False,count_lowerbound,"느림(상한걸림,하한값)"
iheid-swisscovery-ch-discovery,Switzerland Research Centers,523,242,True,count_exact,정상(count됨)
kinu-or-kr-main,한국완료,432,242,False,count_lowerbound,"느림(상한걸림,하한값)"
frontiersin-org-articles,American Research Institutes,1230,242,True,measured,정상(측정됨)
keei-re-kr-boardes,한국완료,452,238,False,count_lowerbound,"느림(상한걸림,하한값)"
search-open-canada-ca-opendata,Canada Ministries,5287,238,False,count_lowerbound,"느림(상한걸림,하한값)"
mafra-go-kr-home,한국완료,761,238,False,count_lowerbound,"느림(상한걸림,하한값)"
nationalacademies-org-publications,French Research Institutes,184,236,True,measured,정상(측정됨)
arrow-tudublin-ie-creaart,Irish Research Centers,229,231,True,measured,정상(측정됨)
spo-go-kr-site,한국완료,227,227,True,count_exact,정상(count됨)
diplomatie-gouv-fr-en,France Ministries,551,227,False,count_lowerbound,"느림(상한걸림,하한값)"
bmbfsfj-bund-de-bmbfsfj,Germany Ministries,502,226,True,measured,정상(측정됨)
secihti-mx-sala-de-prensa,Mexico Ministries,218,226,True,measured,정상(측정됨)
pbc-gov-cn-en,중국 완료,224,224,True,count_exact,정상(count됨)
defensa-gob-es-gabinete,Spain Ministries,421,223,False,count_lowerbound,"느림(상한걸림,하한값)"
artsetmetiers-fr-fr,French Public Universities,222,223,True,count_exact,정상(count됨)
ecologie-gouv-fr-presse,France Ministries,4049,221,False,count_lowerbound,"느림(상한걸림,하한값)"
cds-cern-ch-collection,Switzerland Research Centers,505,221,False,count_lowerbound,"느림(상한걸림,하한값)"
data-taltech-ee-search,Estonia Research Centers,92,219,True,measured,정상(측정됨)
fmi-ch-research,Switzerland Research Centers,818,219,False,count_lowerbound,"느림(상한걸림,하한값)"
nordlandsforskning-no-en,Norway Research Centers,304,217,False,count_lowerbound,"느림(상한걸림,하한값)"
emep-int-mscw,Norway Research Centers,213,215,True,count_exact,정상(count됨)
data-mfe-govt-nz-tables,뉴질랜드완료,435,215,False,count_lowerbound,"느림(상한걸림,하한값)"
mogef-go-kr-nw,한국완료,852,213,False,count_lowerbound,"느림(상한걸림,하한값)"
cnipa-gov-cn-col,중국 완료,213,213,True,count_exact,정상(count됨)
sodha-be-dataverse,벨기에완료,152,211,True,measured,정상(측정됨)
molit-go-kr-usr,한국완료,390,210,False,count_lowerbound,"느림(상한걸림,하한값)"
opengov-seoul-go-kr-research,한국완료,344,209,False,count_lowerbound,"느림(상한걸림,하한값)"
nist-gov-publications,American Research Institutes,478,207,False,count_lowerbound,"느림(상한걸림,하한값)"
issnationallab-org-publications,American Research Institutes,205,206,True,measured,정상(측정됨)
kipf-re-kr-kor,한국완료,601,206,True,count_exact,정상(count됨)
doi-gov-bpp,USA Executive Departments,204,204,True,count_exact,정상(count됨)
lib-cssn-cn-zy,중국 완료,204,204,True,count_exact,정상(count됨)
kedi-re-kr-khome,한국완료,519,203,False,count_lowerbound,"느림(상한걸림,하한값)"
nin-nl-publications,Dutch Research Centers,471,201,False,count_lowerbound,"느림(상한걸림,하한값)"
deltares-nl-en,Dutch Research Centers,155,200,True,measured,정상(측정됨)
sandia-gov-news,American Research Institutes,101,199,True,measured,정상(측정됨)
mof-go-kr-doc,한국완료,624,198,False,count_lowerbound,"느림(상한걸림,하한값)"
moe-gov-cn-jyb_xwfb,중국 완료,418,197,False,count_lowerbound,"느림(상한걸림,하한값)"
benthamscience-com-press-release,Switzerland Research Centers,191,193,True,count_exact,정상(count됨)
ethz-ch-de,Switzerland Research Centers,203,191,False,count_lowerbound,"느림(상한걸림,하한값)"
humanrights-go-kr-base,한국완료,450,191,False,count_lowerbound,"느림(상한걸림,하한값)"
github-com-orgs,Dutch Research Centers,91,190,True,measured,정상(측정됨)
gyeongnam-go-kr-board,한국완료,190,189,False,count_lowerbound,"느림(상한걸림,하한값)"
sib-swiss-community,Switzerland Research Centers,391,188,False,count_lowerbound,"느림(상한걸림,하한값)"
nhlbi-nih-gov-resources,American Research Institutes,325,188,False,count_lowerbound,"느림(상한걸림,하한값)"
bmas-de-de,Germany Ministries,454,188,False,count_lowerbound,"느림(상한걸림,하한값)"
cpb-nl-en,Dutch Research Centers,371,187,False,count_lowerbound,"느림(상한걸림,하한값)"
ypen-gov-gr-category,Greece Ministries,454,184,False,count_lowerbound,"느림(상한걸림,하한값)"
bundeskanzleramt-gv-at-bundeskanzleramt,오스트리아완료,480,182,False,count_lowerbound,"느림(상한걸림,하한값)"
rfi-ac-uk-latest,영국완료,142,181,True,measured,정상(측정됨)
nina-no-english,Norway Research Centers,36,180,True,measured,정상(측정됨)
regulation-govt-nz-about-us,뉴질랜드완료,247,179,False,count_lowerbound,"느림(상한걸림,하한값)"
kcg-go-kr-kcg,한국완료,624,178,False,count_lowerbound,"느림(상한걸림,하한값)"
justice-gouv-fr-documentation,France Ministries,167,178,True,measured,정상(측정됨)
gcsp-ch-publications,Switzerland Research Centers,176,178,True,count_exact,정상(count됨)
amolf-nl-publications,Dutch Research Centers,512,178,False,count_lowerbound,"느림(상한걸림,하한값)"
saemangeum-go-kr-sda,한국완료,428,177,False,count_lowerbound,"느림(상한걸림,하한값)"
ifau-se-press,스웨덴 완료,215,176,False,count_lowerbound,"느림(상한걸림,하한값)"
auswaertiges-amt-de-en,독일완료,526,173,False,count_lowerbound,"느림(상한걸림,하한값)"
auri-re-kr-publication,한국완료,593,171,False,count_lowerbound,"느림(상한걸림,하한값)"
mivau-gob-es-el-ministerio,Spain Ministries,473,171,False,count_lowerbound,"느림(상한걸림,하한값)"
data-aeronomie-be-dataset,벨기에완료,33,170,True,measured,정상(측정됨)
ots-at-pressemappe,오스트리아완료,500,169,False,count_lowerbound,"느림(상한걸림,하한값)"
csem-ch-en,Switzerland Research Centers,168,169,True,measured,정상(측정됨)
babraham-ac-uk-news,영국완료,483,168,False,count_lowerbound,"느림(상한걸림,하한값)"
data-statistik-gv-at-web,오스트리아완료,500,168,False,count_lowerbound,"느림(상한걸림,하한값)"
nivel-nl-en,Dutch Research Centers,520,168,False,count_lowerbound,"느림(상한걸림,하한값)"
