시트명,일련번호,기관명,URL주소,상태코드,페이지제목,PDF링크수,문서수힌트,크롤판정
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2018,200,Budget 2018 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2017,200,Budget 2017 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2016,200,Budget 2016 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2015,200,Budget 2015 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2014,200,Budget 2014 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2013,200,Budget 2013 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2012,200,Budget 2012 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2011,200,Budget 2011 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2010,200,Budget 2010 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2009,200,Budget 2009 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2008,200,Budget 2008 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2007,200,Budget 2007 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2006,200,Budget 2006 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2005,200,Budget 2005 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2004,200,Budget 2004 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
