site_id,site_name,evidence,collected
caissedesdepots-fr-communiques-de-press,Custom: caissedesdepots-fr-communiques-de-press,ok(건강검진),1201
caitec-org-cn-n6,Custom: caitec-org-cn-n6,ok(건강검진),62
canada-ca-en,Custom: canada-ca-en,ok(건강검진),948
cancer-fr-catalogue-des-public,Custom: cancer-fr-catalogue-des-public,ok(건강검진),12
cancer-fr-presse,Custom: cancer-fr-presse,ok(건강검진),110
cancer-gov-about-nci,Custom: cancer-gov-about-nci,ok(건강검진),24
canurb-org-publications,Custom: canurb-org-publications,ok(건강검진),92
carabinieri-it-in-vostro-aiuto,Custom: carabinieri-it-in-vostro-aiuto,ok(건강검진),301
casseng-cssn-cn-sky_research,Custom: casseng-cssn-cn-sky_research,ok(건강검진),8
catalog-data-metro-tokyo-lg-jp-dataset,Custom: catalog-data-metro-tokyo-lg-jp-dataset,ok(건강검진),492
catalogue-data-govt-nz-dataset,Custom: catalogue-data-govt-nz-dataset,ok(건강검진),85
cc-nih-gov-research,Custom: cc-nih-gov-research,ok(건강검진),199
cdhowe-org-research-insights,Custom: cdhowe-org-research-insights,ok(건강검진),344
cds-cern-ch-collection,Custom: cds-cern-ch-collection,ok(건강검진),505
cea-hal-science-cnrgh,Custom: cea-hal-science-cnrgh,ok(건강검진),759
cedelft-eu-reports,Custom: cedelft-eu-reports,ok(건강검진),500
cells-es-en,Custom: cells-es-en,정밀검증 확정,11
centralbank-ie-publication,Custom: centralbank-ie-publication,ok(건강검진),26
centralesupelec-fr-presse,Custom: centralesupelec-fr-presse,ok(건강검진),51
cepii-fr-cepii,Custom: cepii-fr-cepii,ok(건강검진),540
cer-rec-gc-ca-en,Custom: cer-rec-gc-ca-en,ok(건강검진),175
cerema-fr-fr,Custom: cerema-fr-fr,ok(건강검진),231
chinatax-gov-cn-chinatax,Custom: chinatax-gov-cn-chinatax,ok(건강검진),6
chungnam-go-kr-cnportal,Custom: chungnam-go-kr-cnportal,ok(건강검진),425
cigionline-org-publications,Custom: cigionline-org-publications,ok(건강검진),500
cirad-fr-espace-presse,Custom: cirad-fr-espace-presse,ok(건강검진),360
civilprotection-gov-gr-deltia-tupou,Custom: civilprotection-gov-gr-deltia-tupou,ok(건강검진),500
climateinstitute-ca-newsroom,Custom: climateinstitute-ca-newsroom,ok(건강검진),110
cmi-no-publications,Custom: cmi-no-publications,ok(건강검진),346
cnam-hal-science-ceet,Custom: cnam-hal-science-ceet,ok(건강검진),279
cnam-hal-science-search,Custom: cnam-hal-science-search,ok(건강검진),975
cnes-fr-communiques,Custom: cnes-fr-communiques,ok(건강검진),119
cnic-es-en,Custom: cnic-es-en,ok(건강검진),419
cnipa-gov-cn-col,Custom: cnipa-gov-cn-col,ok(건강검진),213
cnl-ca-news-publications,Custom: cnl-ca-news-publications,정밀검증 확정,137
college-de-france-fr-en,Custom: college-de-france-fr-en,ok(건강검진),105
comptroller-defense-gov-odcfo,Custom: comptroller-defense-gov-odcfo,ok(건강검진),24
comwel-or-kr-comwel,Custom: comwel-or-kr-comwel,ok(건강검진),471
consult-environment-govt-nz-climate,Custom: consult-environment-govt-nz-climate,ok(건강검진),72
consult-environment-govt-nz-resource-management,Custom: consult-environment-govt-nz-resource-management,ok(건강검진),58
consult-environment-govt-nz-waste,Custom: consult-environment-govt-nz-waste,ok(건강검진),58
cora-ucc-ie-search,Custom: cora-ucc-ie-search,ok(건강검진),439
cpb-nl-en,Custom: cpb-nl-en,ok(건강검진),371
cre-fr-documents,Custom: cre-fr-documents,ok(건강검진),27
csem-ch-en,Custom: csem-ch-en,ok(건강검진),168
csic-es-es,Custom: csic-es-es,ok(건강검진),25
cso-ie-en,Custom: cso-ie-en,ok(건강검진),388
csrc-gov-cn-csrc_en,Custom: csrc-gov-cn-csrc_en,ok(건강검진),9
cstb-fr-communiques-de-press,Custom: cstb-fr-communiques-de-press,ok(건강검진),48
culture-gouv-fr-espace-documentation,Custom: culture-gouv-fr-espace-documentation,ok(건강검진),304
cwf-ca-publications,Custom: cwf-ca-publications,ok(건강검진),228
daejeon-go-kr-drh,Custom: daejeon-go-kr-drh,ok(건강검진),473
dair-dias-ie-cgi,Custom: dair-dias-ie-cgi,ok(건강검진),500
data-aeronomie-be-dataset,Custom: data-aeronomie-be-dataset,ok(건강검진),33
data-biodiversity-be-dataset,Custom: data-biodiversity-be-dataset,ok(건강검진),524
data-busan-go-kr-bdip,Custom: data-busan-go-kr-bdip,ok(건강검진),2022
