site_id,health,flag_count,flags
culture-gouv-fr-espace-documentation,ok,2,25분벽시계; JS렌더의존(취약)
cwf-ca-publications,ok,2,PDF링크 접미사판정(랜딩미추적); 25분벽시계
daejeon-go-kr-drh,ok,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
dair-dias-ie-cgi,ok,2,초록<50자 skip; 25분벽시계
dapa-go-kr-dapa,empty_zero_parse,5,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성
data-ademe-fr,?,2,MAX_PAGES=200; 25분벽시계
data-aeronomie-be-dataset,ok,1,25분벽시계
data-biodiversity-be-dataset,empty_zero_parse,2,MAX_PAGES=200; 25분벽시계
data-busan-go-kr-bdip,ok,2,초록<100자 skip; 25분벽시계
data-cso-ie,?,3,초록<100자 skip; MAX_PAGES=200; 25분벽시계
data-e-gov-go-jp-data,ok,1,25분벽시계
data-gouv-fr-organizations,ok,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
data-gov-au-data,ok,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
data-gov-be-nl,empty_zero_parse,2,MAX_PAGES=200; 25분벽시계
data-gov-uk-search,ok,2,MAX_PAGES=200; 25분벽시계
data-gv-at-datasets,ok,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
data-mfe-govt-nz-documents,ok,2,MAX_PAGES=200; 25분벽시계
data-mfe-govt-nz-tables,ok,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
data-nasa-gov-dataset,ok,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
data-nist-gov-sdp,ok,3,초록<50자 skip; MAX_PAGES=200; 25분벽시계
data-statistik-gv-at-web,ok,4,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
data-taltech-ee-search,ok,2,초록<100자 skip; 25분벽시계
datacatalogue-adruk-org-browser,ok,3,PDF링크 접미사판정(랜딩미추적); 25분벽시계; JS렌더의존(취약)
daten-berlin-de-datensaetze,ok,2,PDF링크 접미사판정(랜딩미추적); 25분벽시계
datenportal-bmbf-de-portal,ok,2,MAX_PAGES=200; 25분벽시계
datos-gob-cl-dataset,ok,0,
datos-gob-mx-dataset,ok,2,PDF링크 접미사판정(랜딩미추적); 25분벽시계
defence-gov-au-publications,ok,2,25분벽시계; JS렌더의존(취약)
defence-govt-nz-publications,ok,2,MAX_PAGES=200; 25분벽시계
defensa-gob-es-gabinete,ok,3,MAX_PAGES=200; 25분벽시계; 뉴스/보도성
defense-gouv-fr-salle-de-presse,ok,2,초록<100자 skip; 25분벽시계
defense-gov-news,ok,4,초록<100자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성
deltares-nl-en,ok,2,초록<100자 skip; 25분벽시계
dfat-gov-au-publications,ok,2,25분벽시계; JS렌더의존(취약)
dhs-gov-congressional-approp,ok,4,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계; JS렌더의존(취약)
dhs-gov-news-releases,timeout,5,초록<50자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성; JS렌더의존(취약)
dhs-gov-publication,ok,3,초록<50자 skip; 25분벽시계; JS렌더의존(취약)
dia-govt-nz-diawebsitensf,ok,2,PDF링크 접미사판정(랜딩미추적); 25분벽시계
didaktorika-gr-eadd,ok,2,초록<50자 skip; 25분벽시계
difesa-it-il-ministro,ok,1,25분벽시계
differ-nl-publications,ok,3,초록<50자 skip; 25분벽시계; JS렌더의존(취약)
digar-ee,?,2,25분벽시계; JS렌더의존(취약)
digital-gob-es-comunicacion,ok,2,MAX_PAGES=200; 25분벽시계
diplomatie-gouv-fr-en,ok,2,25분벽시계; 뉴스/보도성
directives-doe-gov-directives-browse,ok,2,초록<50자 skip; 25분벽시계
directives-doe-gov-guidance,ok,1,25분벽시계
doaj-org-search,ok,4,PDF링크 접미사판정(랜딩미추적); 초록<100자 skip; MAX_PAGES=200; 25분벽시계
doc-cerema-fr-default,empty_zero_parse,3,초록<50자 skip; MAX_PAGES=200; 25분벽시계
doc_cerema_fr_default,?,2,초록<50자 skip; 25분벽시계
doi-gov-bpp,ok,4,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; MAX_PAGES=200; 25분벽시계
dol-gov-newsroom,ok,3,PDF링크 접미사판정(랜딩미추적); 25분벽시계; 뉴스/보도성
doras-dcu-ie-view,ok,2,MAX_PAGES=200; 25분벽시계
dpmc-govt-nz-publications,ok,1,25분벽시계
drc-gov-cn-leafaspx,ok,2,MAX_PAGES=200; 25분벽시계
drugsandalcohol-ie-cgi,empty_zero_parse,2,25분벽시계; JS렌더의존(취약)
dspace-emu-ee-search,ok,2,PDF링크 접미사판정(랜딩미추적); 25분벽시계
dspace-ut-ee-search,timeout,2,PDF링크 접미사판정(랜딩미추적); 25분벽시계
dst-dk-da,ok,4,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; MAX_PAGES=200; 25분벽시계
dtic-dimensions-ai-discover,ok,2,MAX_PAGES=200; 25분벽시계
e-stat-go-jp-stat-search,ok,4,PDF만수집(데이터손실의심); MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
earlham-ac-uk-newsroom,ok,3,초록<50자 skip; 25분벽시계; 뉴스/보도성
earth-prints-org,ok,3,PDF링크 접미사판정(랜딩미추적); 25분벽시계; JS렌더의존(취약)
ec-lyon-hal-science-search,ok,2,MAX_PAGES=200; 25분벽시계
ecat-ga-gov-au-geonetwork,ok,2,PDF링크 접미사판정(랜딩미추적); 25분벽시계
ecologie-gouv-fr-presse,ok,2,뉴스/보도성; JS렌더의존(취약)
economie-fgov-be-nl,ok,4,초록<100자 skip; MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
economy-ni-gov-uk-news,ok,5,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성
economy-ni-gov-uk-publications,ok,2,초록<50자 skip; 25분벽시계
ed-gov-about,ok,2,MAX_PAGES=200; 25분벽시계
eda-admin-ch-eda,ok,2,25분벽시계; 뉴스/보도성
edi-admin-ch-de,ok,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
edoc-rki-de-handle,ok,1,PDF링크 접미사판정(랜딩미추적)
educacionfpydeportes-gob-es-prensahtml,ok,4,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계; 뉴스/보도성
education-govt-nz-our-work,empty_zero_parse,3,초록<50자 skip; 25분벽시계; JS렌더의존(취약)
education-govt-nz-search,empty_zero_parse,2,초록<50자 skip; 25분벽시계
education-ni-gov-uk-news,ok,3,초록<50자 skip; 25분벽시계; 뉴스/보도성
edx-netl-doe-gov-group,ok,4,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; MAX_PAGES=200; 25분벽시계
efd-admin-ch-en,ok,2,MAX_PAGES=200; 25분벽시계
efk-admin-ch-fr,ok,4,PDF링크 접미사판정(랜딩미추적); 25분벽시계; 뉴스/보도성; JS렌더의존(취약)
ehesp-fr-espace-presse,timeout,5,초록<50자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성; JS렌더의존(취약)
ehess-hal-science-search,ok,2,MAX_PAGES=200; 25분벽시계
eia-gov-reports,?,5,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
ejournals-epublishing-ekt-gr-indexphp,ok,2,초록<20자 skip; 25분벽시계
elocus-lib-uoc-gr-search,ok,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
em-dk-aktuelt,ok,2,MAX_PAGES=200; 25분벽시계
