mpn	doc_type	url
TLE92466ED	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols---tle92466ed---constant-current-control-ic-for-transmission---mentor-pcbdesigndata-en.zip
IRLML6346	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---irlml6346---n-channel---eagle-pcbdesigndata-en.zip
IMDQ65R020M2H	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-imdq65r020m2h-discretes-altium-pcbdesigndata-en.zip
IRF5M4905	spice	https://www.infineon.com/assets/row/public/documents/24/50/infineon-spice-file-irf5m4905-simulationmodels-en.spi
IKCM20L60GD	pcb_3d	https://www.infineon.com/assets/row/public/documents/60/60/infineon-pcb-footprints-and-symbols-ikcm20l60gd-intelligent-power-modules-ipm-mentor-pcbdesigndata-en.zip
CY8C6247BZI-D44	pcb_3d	https://www.infineon.com/assets/row/public/documents/30/60/infineon-pcb-footprints-and-symbols-cy8c6247bzi-d44-microcontroller-altium-pcbdesigndata-en.zip
CY15B256Q-SXE	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-cy15b256q-sxe-f-ram-ferroelectric-ram-cadence-pcbdesigndata-en.zip
IRF8734	datasheet	https://www.infineon.com/assets/row/public/documents/24/49/infineon-irf8734-datasheet-en.pdf
IFS200B12N3E4-B31	datasheet	https://www.infineon.com/assets/row/public/documents/60/49/infineon-ifs200b12n3e4-b31-ds-en.pdf
IDW30E65D1	pcb_3d	https://www.infineon.com/assets/row/public/documents/60/60/infineon-pcb-footprints-and-symbols---idw30e65d1---silicon-diodes---altium-pcbdesigndata-en.zip
IR2175S	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---ir2175s---gate-driver-ics---cadence-pcbdesigndata-en.zip
BCR129W	fit_report	https://www.infineon.com/assets/row/public/documents/24/376/infineon-bcr129w-fitreport-en.pdf
CYT3DLBBFBQ1BZSGST	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-cyt3dlbbfbq1bzsgs-traveo-t2g-cyt3dl-mentor-pcbdesigndata-en.zip
IAUAN04S7N007	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-iauan04s7n007-automotive-mosfet-cadstar-pcbdesigndata-en.zip
ICE5GR2280AG	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---ice5gr2280ag---fixed-frequency-coolset---altium-pcbdesigndata-en.zip
IMBG120R181M2H	pcb_3d	https://www.infineon.com/assets/row/public/documents/60/60/infineon-pcb-footprints-and-symbols-imbg120r181m2h-discretes-designspark-pcbdesigndata-en.zip
IMW40R036M2H	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-imw40r036m2h-discretes-eagle-pcbdesigndata-en.zip
IPC100N04S5L-1R1	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols---ipc100n04s5l-1r1---automotive-mosfet---cadence-pcbdesigndata-en.zip
FS13MR12W2M1H-C55	datasheet	https://www.infineon.com/assets/row/public/documents/60/49/infineon-fs13mr12w2m1h-c55-datasheet-cn.pdf
IPN80R2K4P7	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---ipn80r2k4p7---500v-950v---eagle-pcbdesigndata-en.zip
FB50R07W2E3-B23	datasheet	https://www.infineon.com/assets/row/public/documents/60/49/infineon-fb50r07w2e3-b23-datasheet-de.pdf
GS66516B-TR	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-gs66516b-tr-gan-hemt---gallium-nitride-transistor-eagle-pcbdesigndata-en.zip
IMLT40R025M2H	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-imlt40r025m2h-discretes-kicad-pcbdesigndata-en.zip
S70KL1282GABHB020	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-s70kl1282gabhb020-psram-pseudostatic-dram-eagle-pcbdesigndata-en.zip
BTM9010EP	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-btm9010ep-integrated-full-bridge-ics-eagle-pcbdesigndata-en.zip
1ED3431MU12M	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---1ed3431mu12m---gate-driver-ics---mentor-pcbdesigndata-en.zip
ICE3PCS03G	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---ice3pcs03g---pfc-ccm-continuous-conduction-mode-ics---cadence---v1.0.zip-pcb-en.zip
FS1150R08A8P3C	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-fs1150r08a8p3c-automotive-igbt--coolsic-mosfet-modules-kicad-pcbdesigndata-en.zip
IKCM20L60GA	datasheet	https://www.infineon.com/assets/row/public/documents/60/49/infineon-ikcm20l60ga-datasheet-cn.pdf
IPL65R1K5C6S	fit_report	https://www.infineon.com/assets/row/public/documents/24/376/infineon-ipl65r1k5c6s-fitreport-en.pdf
TLE9855QX	datasheet	https://www.infineon.com/assets/row/public/documents/10/49/infineon-tle9855qx-ds-datasheet-en.pdf
IRFB4228PBF	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---irfb4228pbf---12v-300v-n-channel-power-mosfet---eagle-pcbdesigndata-en.zip
ISC008N06LM6	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-isc008n06lm6-power-designspark-pcbdesigndata-en.zip
FP25R12N2T7	datasheet	https://www.infineon.com/assets/row/public/documents/60/49/infineon-fp25r12n2t7-datasheet-cn.pdf
IMT65R026M2H	datasheet	https://www.infineon.com/assets/row/public/documents/24/49/infineon-imt65r026m2h-datasheet-cn.pdf
AIMBG120R040M1	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-aimbg120r040m1-pcb-footprints-and-symbols-designspark-pcbdesigndata-en.zip
CY8C4149AZS-S588	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-cy8c4149azs-s588-automotive-psoc-4100s-max-cadence-pcbdesigndata-en.zip
SPD04P10PL-G	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---spd04p10pl-g---20v-250v-p-channel-power-mosfet---eagle---v2.0.zip-pcb-en.zip
IPD042P03L3-G	pqr	https://www.infineon.com/assets/row/public/documents/24/316/infineon-ipd042p03l3-g-productqualificationreport-en.pdf
